,boycott_uid_set,like_boycotters_uid_set
0010,2691;3204;3845;764;3226;3356;1569;2593;2849;4904;809;5545;5291;5165;1071;567;446;3902;5952;5313;451;1863;5582;4817;210;2259;470;4697;1881;2139;3036;3039;97;5986;101;4588;1134;5103;4084;4086;3832;3835;3452;1021;5630,3074;4484;1670;5255;5768;5513;3210;3596;6032;4374;3864;4634;413;3872;1315;2339;4772;1707;2477;5679;1586;307;5048;953;4925;4801;322;2372;5451;4815;3025;4187;2145;1378;3810;4218;2535;3560;1131;494;372;2293;760;3706;2942
0011,2691;2694;4885;2201;4634;1949;1437;288;5025;2983;2732;1071;567;1080;3902;1856;451;1349;5072;3920;4179;215;5593;101;5862;3688;105;5994;4461;5487;372;884;4982;374,3456;3210;5003;894;3864;538;2974;1702;5670;4904;3497;5671;3501;316;957;4801;3912;3534;4686;4050;2903;863;97;609;3809;3937;3815;2922;3820;4589;496;4337;3061;1278
0012,3596;3864;412;928;161;1186;1699;1315;549;1191;3769;5434;5948;3390;1983;4418;2764;2901;4694;3930;97;4708;5221;1643;5103;2547;1268;4470;4734,3718;5768;2185;5769;1170;3474;3356;543;2593;2340;1062;4904;5930;4780;2094;1586;183;953;5180;5058;4298;5582;5841;5589;1378;3688;3704;1021;5758
0013,3073;1410;2691;5003;536;1437;5670;1702;4904;3889;5560;2875;2363;4668;1856;4801;4674;1481;4686;2510;4176;4944;4050;4179;5973;215;346;3937;101;5736;4968;5104;4595;2420;372;3324,2694;3207;661;790;4374;4633;926;288;2337;4131;2468;5671;682;5679;567;953;3902;5696;577;1349;5958;3151;5593;5984;5862;3688;2922;1259;1771;2155;1518;5487;5873;3064;121
0014,5600;4357;4518;5255;3560;233;4298;3979;5000;4206;2510;1746;3032;2968;4507;1885;2750;5343,5056;1345;5504;583;1835;3853;4050;2259;884;1396;3095;1111;3769;953;4595;764;413;447
0015,5504;2593;4448;1062;4904;5142;3032;1018,4032;2756;1285;5100;1134;3476;4634;1021
0016,5184;998;4457;3499;2124;3539;5300;1717;2293;187;2781,161;1698;1699;5082;806;2507;1746;5938;5749;408;1274
0017,1856;2340;3559;3889;372;1692;4093,2593;4801;4904;2155;46;1528;3231
0018,3592;3081;4107;2572;5645;2064;17;2583;2593;1071;1586;3635;1591;81;1113;2656;3684;1131;3699;3192;2171;2683;2176;130;5255;2185;661;3228;669;4772;2733;2738;5300;1727;4801;714;716;1746;2259;5847;5858;5862;3304;239;4337;1268;1790;4375;3864;3356;4898;3874;1315;300;303;2866;5427;1842;4406;5446;330;3916;3412;346;5484;1901;5489;2933;6011;2942;5000;5512;1940;1437;1949;413;5537;419;2468;3501;437;957;4032;451;5064;979;1498;3036;5598;3044;5102;4084;1021,3590;3596;1551;4118;1569;5156;4649;5679;4659;53;1595;2124;4686;4687;594;3688;4204;1134;4207;3697;2178;2691;5770;4748;3226;161;5630;5801;170;682;2731;5805;2232;1724;4806;2766;1753;2781;3810;3813;2790;3306;3819;4333;5363;2293;3317;3834;1275;1802;4363;270;1306;3365;295;4904;811;2859;307;5948;829;3902;1863;3400;3403;4959;4470;3452;4994;4484;1926;2438;2957;3474;1947;412;928;2483;1972;953;1983;5056;4034;5582;4050;2526;5094;5097;5100;5103;5626;5629;4094
0019,3592;3979;4748;3474;18;408;3864;1306;4507;1697;1062;937;2860;307;4411;2750;1983;583;5447;4809;4298;2003;1494;343;989;97;2157;884;4086;1530;379;764,5504;4484;5000;5384;3597;3858;2593;4645;4904;5033;1835;184;953;2631;5704;1481;2124;5841;3286;5847;3032;346;5343;2145;2148;3560;233;5483;1645;4206;6013
0020,2944;4484;5255;3080;4748;5396;3095;4507;4518;4904;1834;44;1586;953;3769;3002;4411;3390;1224;5841;1746;5845;5847;1241;346;2145;5090;3688;5483;623;4086;3704;764,5504;2689;2691;3592;4107;4363;3597;5008;3101;1697;162;937;1835;2091;4659;951;58;1347;5701;583;840;4298;5707;2124;4050;2259;3032;985;1885;5343;1132;4206;4595
0021,1536;5137;2070;4634;2593;1569;4129;1062;4649;4667;3136;2113;577;3649;582;1098;4177;597;91;4701;4189;3167;3684;101;3686;3688;4204;1134;2159;1649;5753;5756;3711;2691;5255;5768;4755;3221;1180;1692;3238;2726;2729;1718;186;4801;2243;4297;714;1746;3287;5343;3296;3809;4320;3810;4324;3813;2790;5862;234;5363;1271;2297;1275;768;3344;2838;3356;288;3365;4904;5936;5427;4405;5945;4925;1856;1349;1863;3912;3947;5484;3437;5489;5499;3452;1917;2957;1940;5528;1437;932;5542;2477;3502;946;446;5056;5066;5579;4044;1488;3036;4063;5095;5102;2543;4595;3059;5115,3073;3074;5130;3596;5132;2080;5671;5165;5166;1586;567;1591;4154;5690;66;2118;4172;81;594;4179;4187;5212;2657;5735;1131;5743;626;2163;3699;4723;2171;5757;2689;1670;138;3210;661;3744;5629;1192;682;3755;1217;1732;3781;4293;4815;5839;4817;2259;2791;233;3305;3306;2287;2293;3322;3835;764;257;5384;2313;3852;2831;784;3858;3872;2852;4900;307;1847;3902;4424;5962;4943;3930;1371;1378;2922;875;372;6013;2942;4994;4484;3461;3978;4495;2970;1953;1446;1959;4518;1972;437;2488;953;447;2497;451;452;4039;5582;5591;3558;3560;5609;4589;4086;1018;1021
0022,3456;389;1157;3207;6031;661;4374;3864;538;4634;1437;288;5284;1702;2726;4904;2729;682;1198;1071;5427;567;4027;3902;1856;4545;451;1349;2505;206;4175;81;2770;4179;346;3036;2401;609;5218;2276;2788;3688;3560;3820;4461;5102;1518;496;3697;4337;4595;372;884;4982;5499;894,2689;130;3073;3461;2694;5255;2697;5003;2957;5645;4495;1940;790;2201;283;1949;5534;2849;4772;5670;4143;5936;690;307;1972;568;953;4536;2363;2875;5560;3135;5696;4801;452;2510;4050;5460;5973;86;5593;5984;121;101;1765;5862;2922;1131;1259;3306;374;761;3835;3452;1021
0023,4994;2056;3978;1802;4874;5517;3210;2828;5645;274;4373;2070;5913;1437;2974;928;2465;1062;2726;4904;1790;3889;1718;5942;5434;5948;577;4801;840;4681;2764;4177;81;2259;210;725;3158;346;5085;3684;3815;3688;1258;5739;1643;374;3322;5629;2814;2943,2307;2691;2693;5255;2185;138;4489;3596;3474;5653;3864;4888;3226;4634;2593;1699;1446;1966;5423;2609;307;953;829;3902;3267;5446;1863;4815;4179;4947;2901;5335;5208;5596;5597;2526;97;5862;4327;3304;1134;2414;4207;5102;5103;2163;4084;3704;3835;1021
0024,1026;3842;6020;1926;5511;3210;3596;1425;3474;4888;2841;3356;5413;1062;424;3885;307;4277;3521;3394;3651;2244;4418;195;839;4298;2251;2764;5069;81;3292;5469;4448;1378;1635;2793;1258;5100;2030;112;5749;504;2941,2185;1802;5625;2072;4634;27;1698;1699;2340;549;1446;1191;3490;4136;5794;1835;5795;1586;3635;5300;4021;4921;1211;5948;3646;2373;710;1224;5451;5582;5329;2002;1117;2526;97;3045;1896;1643;1134;5999;2293;3833;5759
0025,3140;2308;5000;4298;139;1132;2510;1746,2145;4484;1221;4904;4201;567;858;764
0026,4737;5768;3466;3853;2574;2831;4752;5007;3864;2201;4634;3738;2339;2852;420;5542;1702;4904;4518;1959;5291;4273;5427;1971;3251;4925;3902;1343;5952;4801;4811;5582;2510;3790;1363;91;989;5469;5343;2145;2401;2914;3173;2809;1021;5375,4994;645;1670;2694;266;3596;4236;1940;3604;4888;5275;3356;413;2593;2082;2849;2726;682;5290;5165;1330;307;184;953;3257;446;5056;451;2243;2117;2118;5072;4817;2003;4052;101;5862;231;233;3177;1131;2155;4589;4595;3835
0027,257;1410;2689;6020;2694;5768;3210;5770;3468;2828;5499;661;2583;4634;1437;926;3872;5794;1446;2726;4135;1830;682;4136;5671;5545;1586;307;1591;2363;5948;2683;1856;4801;1986;2369;65;3781;5446;2240;4172;5069;4047;2384;5200;4179;5973;2648;4697;346;2139;2137;3039;3296;97;4195;5221;231;1256;5736;1258;3560;2922;5997;5102;4584;1259;2155;372;2293;635;4093;2943,3587;7;5255;649;2697;3339;3596;5003;5257;4623;6027;3474;5907;2324;2964;5141;2970;412;1949;3356;4895;288;928;2593;1315;4131;5157;1062;2983;1198;5427;1972;1718;5560;953;3002;4027;3772;3902;1343;3522;451;452;1349;5058;5454;5582;4050;979;4187;3036;3835;1378;5862;3688;3306;875;1131;1005;494;5484;4080;5873;5994;3699;2420;4595;2678;2423;3704;2171;5372;1021
0028,3074;1670;6032;4374;3864;4634;3356;413;2849;1315;2339;5545;1707;5291;1071;567;953;4925;5952;4801;5313;1863;5451;5582;3025;470;4697;4187;2139;2145;3810;1378;101;2535;1131;1134;494;5103;372;4084;2293;4086;3832;1021;5630,2691;3204;3845;4484;5255;5768;5513;3210;3596;3226;3872;1569;2593;4772;4904;809;2477;5165;5679;1586;307;5048;446;3902;322;451;2372;4815;4817;210;2259;3452;1881;3036;3039;97;5986;4218;3560;4588;760;3706;3835;764;2942
0029,3456;5003;3864;538;1437;1949;288;1702;2983;5670;5671;3501;1071;1080;4801;451;3534;3920;4050;4179;2903;863;97;609;3815;5994;2922;4589;4337;884;3061;374;4982;894,2691;2694;3210;4885;2201;4634;2974;5025;4904;3497;2732;567;316;957;3902;1856;1349;3912;4686;5072;215;5593;3809;3937;101;5862;3688;105;3820;4461;5487;496;372;1278
0030,5768;5769;2185;1170;928;161;2593;1315;2340;1062;4780;183;3769;5948;1983;4298;5582;5841;5589;4694;2901;3930;1378;5221;1643;2547;3704;1021;5758,3718;3596;3474;3864;3356;412;543;1186;1699;549;1191;4904;5930;2094;1586;953;5434;5180;3390;4418;5058;2764;97;4708;3688;5103;1268;4470;4734
0031,3073;1410;2691;5003;661;790;4633;1437;926;288;4131;1702;5671;4904;5679;953;2875;3902;4801;577;2510;4686;4176;4944;3151;346;5984;101;5862;5736;1259;2155;5873;4595;2420;3064,2694;3207;4374;536;2337;2468;5670;682;3889;567;5560;2363;4668;1856;5696;4674;1349;5958;1481;4050;4179;5973;215;5593;3937;3688;4968;2922;1771;1518;5487;5104;372;121;3324
0032,5600;5056;5343;4357;4518;5255;1835;3979;3853;4206;3769;1396;3032;953;4507;1885;2750;447,5504;1345;583;3560;233;4298;5000;2510;1746;2259;884;3095;4050;1111;2968;4595;764;413
0033,5504;2756;1285;4904;5100;5142;3032;1021,4032;2593;4448;1062;1134;4634;3476;1018
0034,161;1698;5082;806;3499;2507;5938;5300;5749;408;1274,5184;1699;998;4457;2124;1746;3539;1717;2293;187;2781
0035,4801;2340;2155;372;1528;1692;4093,1856;2593;3559;4904;46;3889;3231
0036,3590;2572;2064;4118;2583;4649;1071;5679;3635;53;2124;4686;81;594;3688;1131;1134;4207;3697;2683;2171;2176;2178;130;2691;5255;2185;5770;3226;4772;5630;5801;170;2733;4806;714;716;2781;5858;3819;5363;3834;1275;1802;270;4375;3864;1306;4898;1315;4904;2859;811;303;307;5948;3400;3403;3412;346;4959;5484;2933;4470;3452;2942;4484;2438;1926;5512;5000;2957;1940;1947;412;413;1949;5537;3501;1972;957;1983;4032;5056;4034;5582;979;1498;3036;3044;5094;1021;4094,3592;3081;4107;3596;5645;1551;17;1569;2593;5156;1586;4659;1591;1595;4687;1113;2656;3684;4204;3699;3192;4748;661;3228;669;161;682;2731;5805;2738;5300;2232;1724;1727;4801;2766;1746;2259;5847;1753;3810;3813;2790;5862;3304;3306;4333;239;4337;1268;2293;3317;1790;4363;3356;3874;3365;295;300;1842;5427;2866;4406;829;3902;5446;1863;330;3916;1901;5489;6011;4994;3474;1437;928;419;2468;2483;437;953;451;5064;4050;2526;5598;5097;5100;5102;5103;4084;5626;5629
0037,4484;3597;408;3864;1306;4507;2593;1062;5033;937;2860;307;184;953;1983;5447;583;1481;4298;2003;3286;5847;3032;989;5343;97;2148;3560;233;2157;4086;6013,5504;3592;5000;5384;3979;4748;18;3474;3858;1697;4645;4904;1835;4411;2750;2631;5704;4809;2124;5841;1494;343;346;2145;5483;1645;4206;884;1530;379;764
0038,5504;2689;5255;3592;4363;3597;3095;4507;3101;1697;4904;937;1835;44;951;953;5707;2124;4050;1746;2259;5847;3032;1241;985;1885;5343;2145;3688;5483;1132;623;4595,2944;2691;4484;3080;4107;4748;5008;5396;162;4518;1834;2091;1586;4659;3769;3002;58;4411;3390;1347;5701;583;840;1224;4298;5841;5845;346;5090;4206;4086;3704;764
0039,1536;5130;5132;4634;2080;4129;5671;5165;1586;1591;4667;66;582;1098;4172;4177;594;81;4179;91;5212;4187;3167;3684;3686;5735;1131;4204;5743;1649;626;3699;5753;2171;2689;5768;138;4755;661;1180;1692;3744;3238;682;3755;186;4801;1217;2243;3781;4297;5839;4817;1746;5343;3809;3810;4324;3813;2287;5363;1271;3322;1275;257;2313;3852;2831;2838;3356;3872;4900;3365;4904;5936;307;5427;5945;4925;3902;1856;4424;3912;5962;875;5484;6013;4994;4484;4495;5528;1953;5542;946;1972;5056;2497;451;4039;5579;3558;5095;4589;5102;2543;3059;4595;4086;1018;5115;1021,3073;3074;3596;5137;2070;1569;2593;1062;4649;5166;567;4154;5690;3136;577;2113;3649;2118;597;4189;4701;2657;101;3688;1134;2159;2163;4723;5756;5757;3711;2691;1670;5255;3210;3221;2726;1192;2729;1718;1732;4293;714;4815;2259;3287;3296;4320;2790;2791;5862;233;234;3305;3306;2293;2297;3835;764;768;5384;784;3344;3858;288;2852;4405;1847;1349;1863;4943;3930;1371;1378;2922;3947;3437;5489;372;5499;3452;1917;2942;3461;3978;2957;1940;2970;1437;932;1446;1959;4518;2477;3502;437;2488;953;446;447;452;5066;4044;5582;1488;5591;3036;4063;3560;5609;5629
0040,3073;130;2694;3207;5255;2697;5003;2957;6031;4495;538;4634;1437;1949;288;4772;5284;2726;4143;1071;5936;690;307;5560;2875;4027;2363;5696;4801;451;4175;81;2770;4179;5593;3036;3835;5984;5218;2276;101;2788;3560;3688;2922;1259;3820;5102;496;3697;4595;884;4982;121;5499;1021,3456;2689;389;1157;3461;5645;1940;661;790;4374;3864;2201;283;5534;2849;1702;5670;4904;2729;682;1198;5427;1972;567;568;953;4536;3902;3135;1856;4545;452;1349;2505;206;2510;4050;5460;5973;86;346;609;2401;1765;5862;3306;1131;4461;1518;4337;372;374;761;3452;894
0041,2693;4489;3978;1802;2185;138;5653;2070;3864;5913;3226;2974;928;2465;2593;1699;5423;3889;2609;5942;953;5948;829;3902;577;4801;3267;5446;2764;4177;4947;5335;346;2526;97;3684;5862;4327;3815;3688;3304;5739;5103;4207;2163;374;3835;5629;2814;2943,4994;2307;2691;5255;2056;3210;4874;2828;3596;5517;5645;274;3474;4373;4888;4634;1437;1062;1446;2726;4904;1966;307;1718;5434;1863;840;4681;4815;81;210;2259;4179;725;2901;3158;5208;5596;5085;5597;1258;1643;1134;2414;5102;4084;3704;3322;1021;1790
0042,1026;3842;5511;3210;1802;3596;4634;3356;3490;5795;1698;1699;5413;1446;424;4136;307;3635;4021;4921;3646;3394;195;3651;2373;839;4298;2251;2764;5582;81;5469;4448;3045;1896;1643;2030;5999;112;5749;504;2941;5759,6020;1926;2185;5625;1425;3474;2072;2841;4888;27;5794;2340;549;1062;1191;1835;3885;1586;5300;4277;1211;5948;3521;4418;2244;710;1224;5451;5069;5329;2002;3292;1117;2526;97;1378;1635;2793;1258;5100;1134;2293;3833
0043,4484;1221;4904;4201;139;2510;567;764,2145;2308;3140;5000;4298;1132;1746;858
0044,4737;4994;645;2694;3466;3853;2831;5007;1940;3864;4888;3738;5275;413;2339;1702;1959;4904;2726;5291;1971;307;184;953;4925;446;1343;4801;451;2243;2118;4811;5582;3790;1363;2003;91;2401;2914;2145;3173;231;3177;2155;4595;3835,1670;5768;266;3596;4236;2574;4752;3604;2201;4634;3356;2593;2082;2849;420;2852;4518;5542;682;5290;5165;4273;1330;3251;5427;3257;3902;5056;5952;2117;2510;5072;4817;4052;989;5469;5343;101;5862;233;1131;4589;2809;1021;5375
0045,2689;1410;3587;7;5257;5770;6027;3339;2697;649;3596;3210;3474;5907;2964;5499;5141;2583;2970;928;2593;5794;4131;1315;5157;2726;4135;5671;1830;682;2171;1586;953;3772;5948;1343;1856;2369;3522;451;65;3781;1349;5454;4047;5200;4050;4179;979;2648;4697;346;2139;3036;2137;3039;3296;1378;4584;1256;2922;3560;1258;1005;1131;4080;4595;2420;2678;3704;2683;1021;2943,257;6020;2694;5255;5768;5003;2828;3468;4623;2324;661;4634;412;1949;1437;926;288;3356;3872;4895;1062;1446;2983;4136;5545;1198;307;1972;5427;1718;1591;5560;3002;2363;4027;3902;2240;4801;1986;5058;452;5446;4172;5069;5582;2384;5973;4187;3835;97;4195;5221;5862;231;3688;5736;3306;875;1259;2155;494;5102;5484;5873;5994;3699;372;2293;5997;2423;635;5372;4093
0046,4484;3845;1670;5513;3210;3596;4374;3864;3226;3356;3872;1569;2339;1315;4904;5545;809;2477;5165;307;567;5048;4925;3902;5451;5582;4815;210;4697;2139;3039;97;2145;3810;101;2535;1131;4588;4084;2293;3832;3706;3835;764;1021,3074;2691;3204;5255;5768;6032;4634;413;2593;2849;4772;5630;1707;5291;1071;5679;1586;953;446;5952;4801;322;451;2372;5313;1863;3025;4817;2259;470;1881;4187;3036;1378;5986;3560;494;1134;5103;372;4086;760;4218;3452;2942
0047,2691;3864;2201;2974;288;5025;2983;4904;3497;2732;3501;316;3902;1856;4801;3912;4686;3534;5072;3920;4050;4179;215;2903;5593;863;5862;3688;3820;4461;496;4337;884;374,3456;2694;3210;5003;894;4885;538;4634;1949;1437;1702;5670;5671;1071;567;1080;957;451;1349;97;609;3809;3937;101;3815;105;2922;5994;4589;5487;372;3061;4982;1278
0048,3718;5768;2185;1170;3474;543;928;161;1186;1315;2593;549;2340;1062;4780;2094;3769;5180;3390;1983;4298;2764;2901;4694;97;1378;5221;3688;4734,5769;3596;3864;3356;412;1699;1191;4904;5930;1586;183;953;5434;5948;4418;5058;5582;5841;5589;3930;4708;1643;5103;2547;1268;4470;3704;1021;5758
0049,1410;2691;3207;5003;661;536;1437;926;288;4131;682;567;2363;4668;3902;1856;577;1349;5958;4686;3151;215;5984;3937;101;5862;4968;3688;1259;2155;1518;5104;2420;372;3064;121,3073;2694;790;4374;4633;2337;2468;1702;5670;4904;5671;5679;3889;5560;953;2875;5696;4801;4674;1481;2510;4176;4944;4050;4179;5973;5593;346;5736;2922;1771;5487;5873;4595;3324
0050,5600;4518;583;5000;4298;1835;3979;3853;2510;4050;1746;884;2259;2968;3769;764;2750;447,5056;1345;5504;4357;5255;3560;233;1885;4206;4595;1396;3095;1111;3032;953;4507;413;5343
0051,4032;5504;1285;4904;3476;5142;3032;1021,4448;2593;2756;1062;5100;1134;4634;1018
0052,5184;1698;1699;998;4457;2124;1746;5938;5300;1717;2781,161;5082;806;2507;3499;3539;2293;5749;408;1274;187
0053,2593;2340;4904;46;3889;1528;1692,1856;4801;3559;2155;372;4093;3231
0054,3590;3592;4107;2064;4649;1586;4659;3635;53;1595;2124;4687;594;3684;3688;1131;4204;1134;3697;3699;3192;2683;2171;2176;5770;4748;661;3226;3228;669;161;5801;682;2731;170;2733;5805;5300;1724;1727;714;716;5847;1753;2781;5858;3810;2790;3304;3306;4333;239;4337;1268;2293;3834;1790;1802;4363;270;3864;1315;3365;4904;303;4406;5948;829;5446;3400;330;3412;346;1901;6011;4994;4484;5512;5000;1437;928;419;2468;2483;953;957;1983;4034;5582;5598;3044;5097;4084,3081;2572;3596;5645;1551;17;4118;2583;1569;2593;5156;1071;5679;1591;4686;81;1113;2656;4207;130;2178;2691;5255;2185;5629;4772;5630;2738;2232;4801;4806;2766;1746;2259;3813;5862;3819;5363;3317;1275;4375;1306;3356;3874;4898;295;811;300;2859;1842;307;2866;5427;3902;1863;3403;3916;4959;5484;5489;2933;4470;3452;2942;1926;2438;2957;3474;1940;1947;412;413;1949;5537;3501;1972;437;4032;5056;451;5064;4050;979;1498;3036;2526;5094;5100;5102;5103;5626;1021;4094
0055,5384;3592;3979;3474;3864;408;1306;2593;1062;1835;307;184;2750;4298;2124;2003;3286;343;3032;5847;346;989;5343;97;2148;3560;5483;1645;884;4086;764;6013,5504;4484;5000;4748;3597;18;3858;4507;1697;4645;4904;937;5033;2860;953;4411;1983;583;2631;1481;4809;5447;5704;5841;1494;2145;233;2157;4206;1530;379
0056,3080;4363;4107;3597;5396;3095;4507;3101;1697;162;4518;1834;1835;2091;4411;5701;583;5707;2124;4050;1746;2259;5847;985;1885;5343;2145;3688;5483;1132;623;4086;764,2944;2689;5504;2691;4484;5255;3592;4748;5008;4904;937;44;1586;4659;951;3769;3002;953;58;3390;1347;840;1224;4298;5841;5845;3032;1241;346;5090;4206;4595;3704
