,boycott_uid_set,like_boycotters_uid_set
0012,5248;1026;2316;5005;1424;1301;1825;4261;3885;2992;1586;2867;3003;1725;5833;4555;3280;5716;5847;1114;3676;4832;490;2923;111;5488;3062;5494;6009;5887,
0013,2304;5377;4736;2693;3977;5005;4880;5523;5662;4511;5154;5156;429;1456;4657;3504;1725;2117;1095;2762;5596;5340;98;995;2535;2030;5743;4979;4345;6010,
0014,2946;1411;1543;4104;1927;911;3220;5783;1048;1182;3999;1440;1443;4260;1066;5802;4913;2743;2302;4286;2624;2880;100;1771;5484;759;4600;5756;2557;3838,
0015,5125;521;786;2578;24;5790;1313;4397;5037;1711;54;703;1345;4802;2126;1871;1872;4176;1496;1113;1374;1121;3811;1895;4716;5997;4983;4467;5751;764,
0016,4866;4624;3870;3615;4386;804;2601;2475;1457;2609;4661;5688;5058;3273;2895;2516;1367;857;4826;1625;1886;5989;2791;364;2029;2286;3183;2418;4474;5116,
0017,2945;391;136;4884;790;4120;3745;4771;3236;556;430;815;179;51;5045;2871;4919;2115;580;2632;4432;2640;1106;726;4187;2915;4195;3685;2282;1267,
0018,4096;4097;5129;2442;4245;1687;795;2587;2598;4264;5417;555;4403;2867;2869;3781;5194;4938;2259;4307;5079;4704;5348;1768;4331;4204;4206;623;751;2036,
0019,1536;1155;1027;4485;2567;1927;398;2974;3495;4266;3120;2872;3897;1978;701;2495;1984;5953;3393;3012;3524;1494;4696;477;1637;4076;4731;5497;5243;382,
0020,1665;5506;2050;4481;1798;905;4363;5005;1806;399;26;4901;5814;5686;2618;828;4291;3527;2887;1487;1375;362;4204;1389;238;1007;4851;4984;3320;4350,
0021,129;5139;1439;675;803;938;823;5305;2875;5056;2882;5827;2500;5060;1482;4685;590;846;3153;86;3672;5465;992;5090;1251;3046;5610;5611;4330;1660,
0022,6020;2820;3976;3597;2829;269;2451;276;5780;3999;1057;807;2733;5041;3506;2875;1986;4930;3527;4810;3789;3408;1493;982;2266;5601;2918;4585;5229;1400,
0023,899;5256;3345;4370;4884;22;3607;278;4250;3875;3363;1317;3750;5927;5287;47;1459;4660;694;2615;3921;3027;2010;5340;1117;606;3038;2403;2812;1790,
0024,4609;642;4742;1670;4236;2573;3727;5009;4244;3864;2976;37;1576;5544;4142;2479;3248;1976;3900;4030;2378;4302;848;3284;5729;1767;1262;2679;2300;3071,
0025,1;641;772;6023;3723;25;2591;5023;3233;2465;1952;4004;4128;1449;561;4039;208;1105;4432;3157;859;5596;739;1127;1385;622;4082;1526;5499;1660,
0026,5637;4236;784;1173;534;1824;3623;2808;309;3269;1611;4943;3152;2387;5846;5719;602;3035;2143;2783;483;1254;2665;4076;2029;5618;755;504;1657;4222,
0027,4353;1676;3469;783;2833;2456;2588;1184;4004;4517;1063;3243;5295;1328;178;2867;2610;3122;1338;3389;1855;3271;1864;5841;83;1878;2908;1502;2804;1142,
0028,5514;4238;2320;5909;5145;540;677;42;4783;1970;2740;3637;5047;446;4672;1473;5955;4548;5452;1230;3157;1494;5845;481;4967;4968;3816;749;246;2558,
0029,5380;395;4877;2446;4623;6038;5272;2969;163;5548;3885;3511;700;5566;5056;4674;4038;1480;4811;2123;5587;5461;609;1377;2147;3947;5616;5489;1651;246,
0030,132;2069;2075;2077;1567;671;546;4003;4262;40;1708;5295;2355;693;1590;3386;2874;4424;5709;5838;5839;976;2136;4062;1121;4456;877;5106;1012;5628,
0031,390;3466;5003;5904;5138;2582;5399;3755;1456;3633;2865;4535;4407;5178;4287;5951;1215;960;3529;3657;1871;2388;1143;1627;1119;1380;4458;5230;1902;2551,
0032,4224;6022;6024;2827;4886;2084;5418;2989;1076;3775;2239;3522;5188;1733;2249;3919;4176;1359;4949;2135;601;2394;2650;1501;226;1378;4068;5744;1649;4472,
0033,901;3089;5525;1052;4772;1574;2728;5800;2857;3251;4278;5048;1339;5308;3773;4548;201;2252;5331;5720;5221;2664;4328;3178;4463;2546;5235;4854;5755;1021,
0034,3586;5385;5643;3467;2705;4503;1692;4893;5756;2211;5156;38;1577;1082;5440;1601;3779;5572;4813;1745;595;3416;2778;5338;3690;4205;2287;2555;4092;4350,
0035,5384;778;4625;4758;3101;1951;1063;4140;1461;1846;5561;5052;5693;3134;3523;964;327;3403;1996;4812;3278;208;5458;3283;470;3415;3935;1642;3314;639,
0036,5249;5384;4873;4106;3337;4498;3103;4769;165;4264;5289;3385;4794;3773;3664;2901;982;87;5208;217;3675;4703;1380;4967;3952;500;501;2042;1917;2430,
0037,3712;4743;9;3851;4239;274;148;6038;1943;1562;1946;2716;5532;544;1957;2862;2358;953;5179;2620;3522;4163;2885;5831;1866;1998;4177;2148;4983;122,
0038,769;5378;515;2182;521;4622;3344;1297;1173;3353;2845;2463;2732;3372;4654;3642;5054;3904;1730;1346;4551;3912;3789;4948;3668;471;4063;991;361;2940,
0039,2561;1667;3332;5380;1544;2697;4876;5136;1040;1555;3222;5660;1704;5550;690;4532;1591;5180;4672;4416;1728;5323;993;1634;3303;5870;2159;1522;1779;4859,
0040,3456;2305;3846;1288;3465;8;2193;4630;6039;2969;2970;2994;3122;823;2108;4156;2496;68;1352;4046;5459;1374;4705;4198;3177;4457;2287;5746;2298;2303,
0041,771;4614;1416;1289;3085;5776;2705;3863;5272;3610;2586;1056;5285;3112;1577;1587;1594;443;1725;5056;5069;3405;88;733;4189;4451;108;1772;751;2166,
0042,3841;900;538;4509;1694;1567;36;2596;4647;4903;3244;1967;2481;5169;5174;2231;824;4411;3900;5581;1488;3540;341;4953;3554;2275;3045;3818;5615;1786,
0043,3587;3335;5905;1681;3605;5782;2591;1191;2087;4263;4786;5046;4668;576;449;4166;5335;3420;3293;4706;2149;2533;111;2929;369;2035;243;3443;248;4092,
0044,515;5382;1544;3722;2955;2573;5776;5654;675;5028;1574;5296;5683;2355;1973;565;2890;3662;2766;3534;4186;4830;4958;1776;4592;5488;2036;2039;3065;637,
0045,5120;2314;270;2703;533;5404;2078;5922;548;5157;2349;2357;702;320;5702;584;3786;5070;5839;5456;3664;4949;5463;5209;3053;5871;2415;4081;2940;3070,
0046,5121;2567;2823;3083;4623;3349;166;2215;296;4902;5293;5938;5810;3508;5429;2492;4540;2882;4163;4551;2941;5592;2144;739;4324;3693;5106;3704;1788;4093,
0047,4738;1413;3722;529;540;3745;5155;5157;1195;2223;2224;4659;3638;4927;2631;4808;5579;4951;3288;3799;3290;4702;4067;5348;5222;362;4330;1139;4595;4600,
0048,5377;901;391;2826;5902;4242;786;4756;3221;2707;3613;5281;3105;5038;4402;5307;5440;836;713;3023;1751;4187;2655;4199;4711;5992;5355;237;3958;1534,
0049,512;5255;4872;4621;4756;4246;4635;4123;2589;4644;3108;2853;1319;2994;3766;2111;4939;203;3150;5200;3160;602;5598;2530;2027;5868;1519;5616;4980;382,
0050,5249;3727;528;2321;4370;2580;5910;3864;2585;3228;3115;1790;307;820;1465;5440;705;5319;5449;5965;590;3419;4957;4959;4832;4323;1514;5742;5874;3710,
0051,1153;4610;3590;1415;3849;4734;1678;4631;4891;4251;1310;671;1578;2995;3763;3512;2490;4938;2380;5074;2138;1371;1245;4965;3174;110;4082;4980;6013;5374,
0052,1155;4868;1029;774;262;3211;4266;2995;819;2101;4534;4151;438;5311;1346;455;5192;1355;717;3152;83;5594;4317;3555;4068;742;1007;5237;758;4855,
0053,5382;5640;4361;5011;5144;4386;2851;682;432;2609;434;820;2108;3521;2117;3273;4041;75;5843;3032;1242;2780;863;994;4069;1766;1509;1904;2037;5630,
0054,4099;5764;1285;1674;2201;4633;3485;2467;4391;1451;4912;1201;2481;441;1726;4031;5185;577;5828;333;208;4049;2898;4055;2015;3173;361;244;1781;1278,
0055,1286;1552;1298;665;2841;5915;3357;2464;1313;4512;675;5417;2345;3377;2098;4534;5944;1337;5698;844;4300;2254;2649;5599;4192;2276;2788;1384;2804;1399,
0056,1161;3217;4114;3479;4906;3756;1966;431;3249;1461;3512;5566;1982;448;962;69;1737;2768;1360;4434;341;2647;5083;4191;4575;3171;368;1394;2807;4989,
0057,2306;6020;5126;3590;4489;782;6036;3988;283;1829;4904;681;1200;4917;1079;1722;571;5187;4676;3782;586;1238;5847;5208;5217;5866;1264;3699;1913;4478,
0058,4740;3845;5135;5263;2067;1430;3236;677;3496;4649;3372;1582;2351;4400;5680;1075;5820;191;2883;1610;1872;1235;213;3800;4824;868;5221;5866;2026;750,
0059,5634;3718;3463;4489;522;5769;3606;536;5913;1051;4384;3361;3490;5667;4899;3620;2853;5284;3509;5820;3554;1378;4713;746;492;621;3438;1783;1017;3068,
0060,3716;2330;5276;4765;4894;29;3621;1069;4150;3384;5947;5694;4543;1599;5060;4810;1996;338;472;1373;2655;864;2911;4584;361;2409;4075;5621;2296;2430,
0061,2560;5251;4618;2319;5007;4245;4890;3361;4385;2085;5031;1973;310;4282;573;2751;5963;4558;2000;3921;2659;3693;2029;2545;4465;2673;1777;3957;3574;1143,
0062,3978;1802;3855;2838;414;3367;1191;685;5809;5427;2616;4547;3012;1604;4679;3144;3789;4561;2642;605;1887;5990;1256;5866;1645;1265;4850;2933;2299;3837,
0063,5633;4229;397;1561;409;5919;4133;3111;48;3764;4404;950;3319;189;829;3023;848;982;1751;1624;475;4188;349;1889;4071;1261;4469;1143;2812;2942,
0064,2307;5253;5769;1930;2825;4493;2446;1434;3738;4891;667;3230;412;4130;2724;4005;4522;4651;4908;3630;601;345;4317;5601;5602;3941;4838;103;1526;5367,
0065,2947;1670;3977;3350;792;5401;3102;3362;1060;2342;4141;4525;1709;3381;5433;2233;4029;319;834;967;204;120;1761;993;1512;3048;4333;2420;5621;3960,
0066,258;4738;2310;4359;3464;2704;3480;415;33;1443;3235;5164;5295;5692;4799;2885;2378;1741;2640;4819;2131;5717;3033;2654;5605;3563;1393;3057;3827;2808,
0067,3334;5387;1293;3985;2709;2585;414;287;2978;2353;3130;2492;3645;5572;3526;5322;1100;1742;1238;2393;473;3936;1122;3427;1380;5858;1386;4595;2805;5365,
0068,1282;3204;4619;2573;2831;4391;1193;4274;2621;65;4802;4425;1738;2510;3151;979;5335;2393;5855;4962;4579;4586;2795;4973;2031;2543;2676;2168;2940;5119,
0069,3457;260;390;3975;3476;2837;279;2970;3483;5530;1573;4781;60;5565;2750;5056;4295;4424;1994;3915;5452;2260;2651;2524;2142;2789;234;877;3310;4335,
0070,4866;390;4239;6032;1807;1298;5907;4885;4629;4516;1705;1321;2857;2480;2481;1332;5686;5051;5438;1599;5574;4689;3670;1888;2921;4330;1515;5229;2671;1778,
0071,3971;5251;650;651;3596;1678;1950;5797;2345;1071;5552;1970;1337;4026;2620;3134;1732;1349;1991;3026;4443;3042;3298;3044;4843;4587;5744;5363;3710;127,
0072,777;18;2974;4642;4899;4131;4519;1584;5682;54;4157;319;4546;3138;4045;5966;3025;4821;472;5977;4447;5344;1249;5474;2531;2282;5743;3055;3955;3320,
0073,3718;5638;1798;2443;2296;1321;4908;1074;5304;5944;1208;2622;4946;2259;724;1880;603;5724;3165;2021;999;2536;3568;2673;112;4851;243;1525;3192;4731,
0074,642;2691;4868;2053;4995;5136;4638;1187;3363;1064;47;2995;5428;1333;4792;1984;5837;592;209;1875;1236;2148;3945;2794;4844;239;4595;3449;3322;1663,
0075,386;3845;5259;2065;5523;3099;1436;1310;2079;2727;425;1071;5296;3252;3001;3519;715;3024;852;213;1753;5471;735;5477;2155;5487;3055;241;4463;4467,
0076,3335;5255;3208;4750;2063;4751;5774;5527;1433;5404;37;1319;429;3378;4789;3264;1988;4173;4051;3324;4827;3039;4965;5094;6001;6002;3442;372;5624;3836,
0077,2050;3334;2567;1672;2954;1291;2063;275;5143;3095;2846;2340;1584;1594;4031;1217;3652;1350;3528;4553;2123;2515;3929;120;3432;3823;1520;4470;2552;121,
0078,4232;906;2956;911;5649;3347;1830;4775;299;688;1973;4150;2752;2370;2499;3266;3913;3403;4046;4559;3032;218;4315;605;3297;740;5482;2287;3066;2430,
0079,4737;262;10;3338;4878;2704;3348;3477;1814;2711;1434;5020;1313;4900;934;3883;5038;302;2482;819;2883;707;2120;1355;1360;1494;86;1373;4331;3057,
0080,3079;2447;21;5400;4376;411;157;798;1952;931;1831;3118;5939;3267;4548;2246;1734;587;4568;1881;2138;3675;4573;2912;2144;5344;1264;2426;3838;6015,
0081,649;2067;276;535;2327;5790;4639;2729;2345;1323;3755;3123;1987;5446;4681;3404;3798;3160;3288;3161;1116;2404;3812;5735;2156;3309;5874;116;1276;382,
0082,1283;4105;5518;2330;2715;4390;812;813;4530;2738;2871;2490;571;3514;703;4671;1350;5574;3658;2257;4569;5608;2026;2542;3568;1139;3315;1403;1022;2303,
0083,4609;1794;4880;1938;1817;3484;5791;544;2719;939;4267;2733;305;5301;3641;2107;3648;1473;1606;5960;717;3412;4089;3040;749;3567;1906;4729;1530;1151,
0084,2945;3714;4741;4875;782;3734;1178;1820;2588;798;928;1571;2855;4903;2733;4526;3770;956;4925;828;3519;1732;1606;3912;602;2017;98;5354;2415;3058,
0085,2689;4097;2448;4498;6039;2588;5279;4904;3374;4785;3378;693;824;5574;1606;1096;1353;2758;3788;3534;2255;855;5594;3932;3554;2664;1897;2157;1918;5759,
0086,3596;790;5668;2860;5809;2612;4794;2115;3398;456;3913;2252;5837;2895;3024;4303;4180;3802;3931;1628;4344;5605;5991;2411;4459;1133;4719;5491;4600;1659,
0087,129;2820;4234;5390;3599;2071;1947;5917;1054;1696;4007;168;2349;5422;1840;2608;1589;1717;2743;2869;4411;1734;4682;5200;2900;5466;3046;616;1912;2297,
0088,6025;4235;2701;5390;788;545;2467;291;2987;1329;5942;5432;3262;5443;2246;1099;5326;2127;3286;3928;5211;1376;4966;874;2157;4719;1648;626;377;5243,
0089,2311;3602;1298;5787;1180;2850;2855;4277;3253;5687;183;3771;1468;5823;2112;3783;4297;334;5838;339;2398;5984;1252;5611;1901;4466;2679;5753;635;1151,
0090,1409;4226;1411;5774;4367;3215;5400;680;169;424;1969;1203;4797;5054;3262;1987;2629;3655;4425;2634;3929;3289;3038;1509;1512;5864;875;3571;1144;2941,
0091,4483;4487;1292;4111;3989;4630;3871;5025;3492;3118;1838;4022;3645;3390;5060;5574;2631;5963;971;1997;3408;4184;5724;5732;5093;5989;3692;367;1521;3572,
0092,4869;4502;1572;4140;1455;1203;436;5177;1083;5436;4416;5314;4039;968;4938;3536;5841;2646;4184;2019;5989;103;5993;1389;4206;2286;4723;4086;761;4991,
0093,2055;1544;521;3465;5642;1418;1938;1683;531;1694;4512;5154;1442;3620;1704;1707;4274;5943;698;827;4672;3266;465;2003;2788;3692;2931;3317;4476;3709,
0094,4872;5004;402;147;3607;3613;4514;1830;5931;5037;1074;2740;5303;1720;3784;460;4177;469;4183;1763;100;4837;1381;363;877;1648;5616;5748;3321;4603,
0095,2176;1920;1155;134;4488;4745;2570;2058;2962;2580;3604;919;3991;1566;2978;3111;3121;1204;5686;2001;3414;3930;1626;5091;3951;2543;2674;4596;2555;3965,
0096,1026;4613;3592;5390;1807;3342;278;5917;1821;5920;2218;4778;815;1328;5562;4287;4801;2260;1366;2903;2007;3799;4698;3306;4205;3053;750;3825;756;3193,
0097,388;5767;1160;6027;2060;1420;4619;3731;3607;5911;31;4774;5672;1712;2232;5564;2500;4165;199;3528;4826;3933;5470;3039;4832;1888;5744;5240;123;4607,
0098,1674;525;3736;4510;929;5804;2221;1839;3124;4672;5579;4047;5200;596;724;86;5974;2782;993;3811;5606;4582;5354;3563;752;1521;4336;2549;5500;509,
0099,5122;2435;3079;5777;2578;3607;2585;921;1567;5024;2989;5817;700;66;4804;3141;4040;5577;3917;4942;4692;855;2906;1372;1631;5231;4977;1652;5109;1526,
0100,385;1795;270;5244;531;4884;4629;5397;3608;2330;3746;291;1570;2085;4780;3245;2096;4149;5187;2499;3271;3277;4566;3932;3690;2669;1779;4983;124;3069,
0101,2440;143;4369;35;4004;2597;5926;4775;2342;3494;4651;2095;1205;4922;5825;578;1864;587;3195;976;1878;2651;5727;1895;5612;3821;4079;371;3956;1659,
0102,4224;3461;905;1299;791;5538;3876;43;815;1585;2231;3772;1607;3019;4687;2385;5845;2134;599;854;602;1499;4956;1377;487;5352;1651;2419;502;2940,
0103,522;3083;1549;4750;4880;3604;2068;3478;5400;168;940;2990;5040;948;4918;1082;4160;4807;5069;2131;4565;2774;5333;4183;3935;4964;5610;5231;3957;5113,
0104,1024;2315;3212;4111;1060;4650;2737;1330;4402;4276;2098;1979;1212;5949;576;5697;1618;723;1239;3037;353;4199;1897;2163;2803;2419;5494;5497;5114;4731,
0105,3475;5401;4763;2205;2206;4385;4386;1068;4524;2867;5044;5942;3387;2245;2758;1097;4568;4193;484;4327;5225;1257;878;1137;1521;117;3702;3191;3062;3839,
0106,5512;523;3595;1680;656;6036;3221;5530;4763;1180;1956;4773;1325;4269;4409;3899;4925;843;3535;4177;2774;3159;986;3807;867;5737;107;4721;4977;3838,
0107,1796;1807;5395;151;2714;28;2595;2728;5417;683;2476;4912;2608;5554;1204;1592;2753;5702;2889;4307;2138;5723;5597;1380;3820;4589;4209;1140;1402;3838,
0108,3332;5255;5643;2448;5526;5153;2723;5284;4647;2732;2476;2733;5423;3898;1599;5312;323;1358;4431;3795;4824;3673;2651;4061;3552;4581;4974;1401;3965;3455,
0109,1416;3849;1547;3732;4643;1961;5165;302;1971;1333;1210;3132;958;318;5445;2762;1105;3924;2647;5722;1758;4579;229;5093;1513;2411;1774;2290;371;507,
0110,5638;5135;4240;4635;5659;5283;2856;3753;429;2607;2991;4786;179;2613;1465;5575;1224;460;3665;3667;3676;989;863;3554;4967;4457;2803;4597;5754;3455,
0111,5517;3857;1431;3995;5915;4380;1188;4389;4775;1704;5169;3764;4285;3136;5953;1858;4296;2635;459;3029;4439;2397;615;4074;5227;621;2926;5998;1011;4853,
0112,2697;3852;1168;2192;5656;3352;926;3363;3365;2088;4521;4011;1078;448;193;4810;470;726;3801;4186;2907;5210;2910;1761;743;3049;2026;367;3570;1145,
0113,4993;4098;5381;5644;3725;4881;1686;409;4638;3742;4254;3240;4011;1456;5046;4407;5688;4539;2499;3402;3916;5465;4571;5726;1248;4712;2925;1396;2292;2168,
0114,1669;8;783;3727;5015;4252;5923;3881;5801;2217;2988;5422;1200;3254;184;4792;3322;3275;2127;5455;5085;4574;481;4837;5099;4591;3312;5620;2550;2938,
0115,4224;4614;3340;3085;5263;2703;4752;151;5274;797;1952;2976;3766;56;4156;5053;3774;2112;2882;3014;457;857;5087;3042;3684;3823;2800;2673;6005;4351,
0116,3080;3721;2955;2446;5903;4239;1941;5142;4759;4120;2969;5911;5792;5153;162;5925;935;2856;1836;2863;1460;2493;326;3787;215;96;3553;4094;3833;2814,
0117,1026;5251;4358;1681;1044;6037;26;1051;2459;1949;3104;4392;300;4281;3002;1465;708;1735;4554;3532;5085;741;4200;3824;4853;4469;2934;5880;4474;1659,
0118,5;5638;139;4620;1815;3098;3228;3868;2846;1184;1569;1572;295;3752;5801;5418;557;819;2235;2124;1486;4692;2136;2909;2016;1121;5223;363;2543;763,
0119,3586;3330;5892;4631;1565;5536;1442;1832;3886;1967;2608;3118;3764;1974;3127;4161;4043;1489;5848;4827;3038;4064;5353;4590;2545;1267;1651;2292;4731;126,
0120,3972;3084;4240;3344;3738;4636;33;3619;164;5929;1919;4408;4025;3390;5700;212;2518;2015;5729;3814;1131;1387;5745;1522;1524;6004;888;4988;3581;3455,
0121,3584;1922;6019;3592;4618;3466;2454;4512;5281;5668;1578;3117;1590;5815;5560;5177;4539;1604;330;4943;4177;602;475;4061;1630;4324;3943;4585;1137;3446,
0122,1667;1927;5644;3092;4123;1308;2206;1315;2211;1189;5543;941;3122;3381;5061;2685;2508;2640;2899;5335;3288;4059;5852;1373;1505;1379;2666;1260;5106;1533,
0123,5763;1540;5126;4103;3982;5400;1052;4511;4387;1571;5929;687;175;1205;2999;1596;1090;4675;459;4176;5211;4704;1762;5608;3689;2927;3441;4349;4989;382,
0124,5632;3456;3461;2057;3082;3979;653;5912;2840;1823;4644;3364;177;5686;1726;447;1857;962;2631;2888;1481;4042;1108;5080;3804;2022;1515;3318;1782;510,
0125,2178;899;3718;651;1036;2187;5903;22;4374;2970;3487;1824;4641;5407;1571;2112;2624;3649;3659;4572;4701;990;3040;2018;2407;750;2548;1269;1273;3070,
0126,256;647;5768;1041;3603;154;1311;5408;5415;1709;307;4277;5687;2360;4921;3136;2113;2502;711;3656;2511;4943;987;3036;607;3939;5993;2922;5485;2679,
0127,1541;904;1679;1426;4756;3476;5657;3483;29;1960;564;4288;578;2628;4557;3409;725;2650;4188;3171;5860;1511;5480;1513;3946;2539;5228;1646;4081;1150,
0128,3;4359;3335;4877;4631;2711;26;3483;808;4141;3510;4150;1470;4798;3776;3137;3393;2634;1742;83;1495;1499;1117;478;5731;1391;4470;1782;2938;3070,
0129,4736;1028;782;15;2193;5398;5403;5789;1182;3496;2604;4658;4918;5689;701;579;5189;3405;211;1492;3452;3160;1242;4960;3043;2922;5745;2549;889;1276,
0130,2176;4745;1164;5516;1693;5538;2740;5304;4025;3642;702;959;1987;2373;5065;5579;3024;5970;3027;4692;2005;2643;4312;3036;3677;5731;5235;4348;4860;1150,
0131,2176;3329;640;3204;4870;2830;3726;2581;1813;4630;410;1179;5149;4518;4519;2858;3883;2482;4793;4544;963;3528;731;993;3042;4322;1510;1388;1260;5498,
0132,5252;1547;2189;1295;1679;4753;3987;1045;1685;805;2603;1072;178;3766;2230;3129;700;452;3919;4438;1370;5859;3687;873;4334;1520;3321;3962;3068;3455,
0133,257;1542;5258;3979;16;785;5777;913;272;535;5911;5785;3999;2977;2852;3375;3760;1987;4037;2767;5968;1747;4953;5721;4061;2402;2917;3942;5868;6006,
0134,1541;2448;4242;4514;1699;4516;5296;2355;702;3902;4545;5698;3012;1989;326;1605;2632;1738;2515;3925;2654;737;4834;3301;4346;5493;2551;5882;891;765,
0135,1153;900;5;1273;775;4747;4879;2581;2586;2332;2974;676;3114;1203;5434;5565;2625;3522;3676;3932;1759;621;2928;5106;4725;5110;1655;5622;373;2042,
0136,1413;4751;3216;912;1558;3994;5147;4766;414;3235;2212;5925;1915;4652;1713;4280;3385;5309;2238;195;5317;4293;4809;1865;591;2519;2008;1014;2171;2943,
0137,1537;1794;2434;4744;141;5268;4374;2077;1442;2605;1965;4271;1471;4167;713;1360;850;1491;5851;4831;614;5480;5865;3050;751;2289;5873;1268;377;1404,
0138,5511;2443;1420;5521;2837;3097;2457;413;5537;2341;2858;3629;1587;4540;2621;3902;3013;2757;1995;2764;4945;5842;3283;5074;5594;4063;2661;4839;3310;2293,
0139,4864;2308;1294;4498;5523;5396;2197;4246;1956;2216;41;5549;2222;47;2098;697;4796;5952;2377;4938;4941;977;2006;3928;3417;350;3556;5351;3565;4977,
0140,1665;2951;3978;1037;5138;659;5402;1311;4129;4514;1057;2092;5299;2867;5941;954;1472;3525;5836;5583;2897;3922;467;3938;741;4336;2802;4596;4215;507,
0141,3205;650;2702;3855;4369;1944;4889;1945;1055;5792;549;3113;2742;4158;959;195;1225;3154;851;1879;4445;3805;4834;995;1382;2286;4591;4976;241;1145,
0142,3200;4239;5008;5519;6034;5667;805;2726;5930;2732;2477;2092;1585;5301;5819;1994;5072;339;851;2387;4310;2648;2781;3683;5733;5223;4073;5489;5361;1786,
0143,4616;2572;2713;3617;547;1833;684;173;1074;1843;568;702;4546;464;3792;3542;3543;4058;1247;1378;3427;741;5094;5480;5224;877;365;758;121;1020,
0144,5376;637;137;2699;4620;3340;2324;2581;540;3870;3879;1836;942;692;3381;315;60;2627;3278;5456;2516;4949;2777;2402;1774;5368;2937;2556;2045;1535,
0145,5251;1031;4871;1034;1675;3723;2445;1043;3733;150;3105;4648;2090;5422;5950;3270;3144;201;1737;4299;3410;3155;3924;4696;4061;4713;624;4473;5883;3454,
0146,648;265;3340;653;782;5398;5272;4634;4127;5536;5024;927;2983;4264;5545;2096;177;1971;1978;3388;576;2757;460;4310;484;3048;4332;2669;5870;4728,
0147,520;1802;5515;16;1559;280;3223;3226;3994;4509;4511;161;1593;3002;2881;4802;1734;5575;4425;5073;2392;1243;861;1761;2157;4975;4344;3833;4478;5887,
0148,3072;5639;2060;396;5778;1684;5145;5277;4773;1193;2602;1326;1840;3900;2890;2123;719;4309;599;5849;5081;606;3170;2537;3821;1520;761;5497;123;4476,
0149,3849;3979;1177;2973;3101;1951;1442;1965;5679;2173;1206;185;831;192;3392;5442;582;70;5584;1617;5721;4700;989;4573;4706;4197;2413;4344;378;4093,
0150,1537;129;2566;6022;11;3602;4628;5912;4760;4766;929;1322;2220;4531;2889;4042;4428;205;2513;4316;3933;5472;2663;1130;5482;4724;3574;2040;5372;3710,
0151,5509;2828;1296;3094;919;5528;4506;4646;5673;4906;3372;46;5813;2104;5177;194;5706;5067;973;466;4438;3291;1637;4327;3179;2924;3311;1525;4731;2428,
0152,3846;3335;142;4495;1167;5403;1052;1439;5920;939;173;5942;1594;5190;3528;4047;2388;2777;4444;5088;1376;4582;3948;2287;3823;1905;5487;3824;4343;2555,
0153,3714;4613;6;4744;144;4761;5280;2602;2300;1846;5686;953;2116;2630;586;4816;1488;5977;3294;3552;4065;1379;5735;5096;3312;3186;5108;4472;4859;1148,
0154,3844;3204;2182;2183;4615;5900;5516;1041;5525;4247;2712;4765;1695;2464;5537;5160;1960;2737;4917;2765;1102;2511;2002;2387;2418;1140;1143;1657;506;1535,
0155,4992;5249;1545;393;2573;2960;3090;4246;2974;2978;805;555;3125;4158;5697;1988;4038;5321;1230;2255;4087;4564;479;3691;748;113;3187;118;3703;3832,
