,boycott_uid_set,like_boycotters_uid_set
0010,5766;5646;2713;2714;2715;2716;3741;2717;2718;548;2225;691;4276;949;2236;4808;5714;1752;995;5221;3945;4725;5493;3578,
0011,5633;2562;5636;5127;3086;4115;3092;21;4632;4634;5148;5150;3105;1571;4643;3112;44;1069;3116;5678;50;4658;1079;3642;3132;573;62;1086;1088;3646;3651;78;79;590;2643;3671;5207;95;5729;2665;5226;1132;1135;1647;1649;3695;2675;1652;2166;4727;2170;1147;4731;1149;126;2175;3200;5756;1667;1158;1671;1673;1679;1682;1683;150;662;1689;1690;667;1693;1694;161;1186;1697;1699;165;1190;1191;1192;1700;1704;3243;5802;3763;693;4277;4283;4796;4290;3779;4291;4292;5318;3784;716;4300;2767;723;1246;5344;738;3811;5861;3814;747;1774;3822;5870;5370;1278;1279;770;1282;260;1285;4360;4364;4876;5392;277;2841;796;799;2852;1317;1319;2345;810;5933;1326;4912;4405;2871;4922;839;1351;4425;5451;5968;5458;5459;2902;4441;5466;2398;2913;2916;357;2918;3943;1384;3436;1390;3962;2941;4477;1413;2949;4486;1416;5516;910;911;924;2461;3486;1439;928;930;1443;1445;2471;2473;5545;2475;5551;1456;434;2486;5560;1474;4549;2504;2506;975;1492;983;4055;4567;1500;3551;5601;996;5613;3055;3568;2551,
0012,4613;4104;2441;2186;5129;2444;4110;5263;2193;5266;1428;4375;5668;4263;3753;4139;2477;5166;2352;817;4410;3516;4284;4414;4031;3520;4802;3528;3913;4045;4942;3538;4694;5211;5980;2530;3941;2540;1261;2543;4336;753;4852;3957;3835;3583,
0013,3524;3684;4357;199;3879;4361;2474;3117;3213;4271;528;114;5843,
0014,5504;5190;2178;255;4356;1414;647;5385;4362;3595;2833;5778;1684;1302;151;1560;1687;2458;1691;4503;2976;163;1189;4134;5287;808;1576;1705;3627;3752;4011;942;3246;1968;4908;4531;692;4661;4788;2231;3768;4916;2234;1339;2748;3901;4155;5180;704;449;3648;5307;1988;710;1990;1992;3017;3142;1995;1996;3144;1870;3406;4298;4429;5325;3027;3412;729;89;90;5341;3301;2790;5351;4330;5868;1648;4210;1786;764;893;2686;639,
0015,130;1797;1803;2956;4491;2703;4239;4367;2324;153;1820;2591;4895;417;1825;2339;1316;2981;2470;1063;2349;2737;567;1592;2746;3770;3773;2494;1727;3774;3776;1604;4164;1222;4423;4427;4686;5582;1744;1239;1368;216;3930;2531;5479;2664;5993;2922;2155;2544;2289;2297;4859;4476;4733;3582;4735,
0016,1025;5123;2565;5638;4105;5130;12;4111;3607;5658;29;3616;3106;5155;3621;4140;2606;5679;2096;3121;3632;4149;3126;5175;570;3130;1085;2111;579;3656;2642;3668;4181;4184;4186;603;604;2139;3166;2143;2656;2145;98;101;615;2151;4199;4711;3187;117;2165;4603;635;3707;3711;1153;4739;1156;4230;5254;3725;657;4243;1688;2712;4250;678;181;1206;3765;5817;2238;4289;4296;2254;3280;1746;4308;1237;2261;1758;3807;5854;2282;2795;3818;4333;3824;4341;3843;1284;3846;4359;778;2831;1298;2834;4373;4377;4900;3877;806;1321;5929;3890;3385;319;5955;1357;5456;2387;2390;5974;4447;1376;2402;3940;5994;3440;3954;3444;2933;1405;5501;895;4479;6013;6025;4494;5519;3472;6030;3986;3475;6036;3991;3992;3996;2463;4016;5557;2999;440;4023;3007;4049;985;3034;4061;3039;4071;3562;2539;3563;2038;3574;5626;3579;3580,
0017,1026;1032;1035;3596;525;1554;3091;2583;27;540;1053;30;2589;32;4127;2595;4644;2600;41;2089;2603;2614;4153;4669;5181;2629;2634;3660;77;3663;1616;2641;4176;2646;2647;1112;3158;3159;4701;608;99;2661;4197;5735;1134;3696;4217;2684;4737;1666;4741;5624;4746;5772;5264;145;3221;3225;2721;2729;1706;5297;3251;184;4282;4798;5824;707;1221;5330;4819;3799;3803;5855;4832;3299;3300;3308;5869;1777;1266;5875;244;758;2806;1784;1273;1788;1789;1790;1791;768;3345;4887;280;3354;795;4897;5921;292;3364;5417;298;2867;309;5431;4408;4412;5439;832;4419;3396;3909;3912;4436;2904;3419;3430;873;4458;5483;5486;2931;4467;4470;3457;5515;5520;3990;4508;4512;5540;1958;1448;1449;4521;2987;1453;4017;4535;1468;5056;2503;969;5068;2511;978;4564;5076;4566;5078;4057;986;1499;4572;5081;5083;5087;3554;4066;5092;997;4069;4581;5093;5097;5098;1003;494;5104;4081;3570;5105;5106;504;4092;511,
0018,5124;1549;16;2072;3099;5659;4639;2598;2615;3129;5695;576;2114;5196;5719;611;102;3688;4202;3691;5742;3184;628;4228;4231;136;3209;5768;651;4761;1181;174;4809;3793;4817;3809;3298;1258;3309;1794;1795;1796;264;1807;3855;3350;5410;2865;3380;3895;831;5953;4432;3410;2903;3416;1378;358;5992;872;5484;1391;3442;6017;6027;913;1427;1438;2975;4002;4004;3500;947;950;954;4029;5054;5566;4034;5574;4569;4571;989;2016;4064;5606,
0019,1665;777;2697;5645;3088;1043;5270;1563;2844;2210;3235;3236;4007;3634;3511;3261;2878;2138;1388;4205;5996;2163;3827;2173;2174,
0020,2561;5889;131;2691;2053;3075;7;2567;2952;2058;3331;3332;4745;2574;2959;2320;4496;5903;3095;4760;2969;4378;1567;31;931;2085;4262;2348;2861;5167;1203;3636;1333;2358;3764;4660;1980;3772;5635;1473;2369;2371;2627;5187;1609;2377;2635;4681;1101;2638;2386;1491;2388;5331;1624;601;2392;3804;3677;3678;4448;4709;3303;2024;2409;2410;5866;4204;2413;2287;3825;2418;2419;1524;2805;3314;1277;5630;2047,
0021,2564;3077;2569;3082;2059;2061;2062;2063;4627;2068;4117;5143;1562;3614;2079;5152;4642;3109;5158;3623;5672;2604;1584;4146;565;5174;4151;5178;5183;2624;5185;5188;2632;2637;4688;1617;1618;5200;2644;1111;92;605;607;3178;2157;625;1142;2682;3196;2181;3206;5765;2184;3720;139;1165;4238;2191;2194;2196;2708;4245;1176;3736;5791;5792;4259;2217;5291;173;1197;1714;5299;1716;1718;1207;3766;4279;5303;3260;5820;703;193;5825;4803;4804;1733;3269;3270;4805;5320;4299;4302;2255;1232;5840;5842;3285;3800;4315;2781;4319;5857;2276;741;230;2283;4331;3821;1776;4849;4850;4851;3832;4344;4345;4346;767;2819;5895;3339;5387;3860;790;4374;1819;3867;1821;1824;1313;4384;294;4391;4392;3881;4393;4394;4395;4396;2350;4397;4398;4399;4400;4402;5433;1344;5445;4941;2894;4433;854;5979;2397;2909;3422;3934;2923;876;3949;2930;6002;2421;2425;3961;2428;5507;902;3975;3976;3465;6023;4492;6031;3476;5528;3994;411;2459;3997;2462;2464;2465;2978;2467;1956;2468;2979;4520;4009;941;2990;5040;436;948;2997;2998;4024;5045;1978;3006;959;960;4033;4035;967;5064;3018;971;2000;3026;4052;993;2020;2028;3054;2032;4593;2035;1532,
0022,3841;4481;326;874;4747;4812;5546;4079;210;5976;5524;3253;5013;1591;4248;5430,
0023,2048;1;4102;2055;2057;5641;2060;5648;4114;19;1556;3609;2074;4633;5147;4637;1056;2081;2082;3617;2596;4130;2086;4645;5664;3625;2090;2091;2092;2093;3115;2607;2097;562;1074;564;2098;2099;2101;2102;2610;1082;1596;1092;2116;2117;583;3147;80;1105;82;1619;1620;87;5722;3676;2141;606;2654;4700;5733;3686;4717;629;2678;2681;634;2171;4224;4225;1159;650;4234;3218;3730;4244;4246;152;1178;3739;3745;2730;1198;4784;689;4793;705;1220;2763;1229;1236;3284;2262;3798;2266;2782;1251;4838;2281;1265;3826;2293;2294;1272;249;2300;3324;254;2302;2305;2308;773;2310;2313;2315;3340;2318;271;2319;2322;275;1812;2837;2327;2330;2331;5916;4893;798;2335;5406;2337;1826;2340;4389;2342;2346;2347;4906;3378;2361;2367;3391;3904;843;3403;1358;3409;5971;4952;5978;3420;3932;3933;4957;2912;3425;3942;3431;4456;3434;3435;2414;5670;3443;884;885;2937;2944;6018;2948;4998;2439;1418;2443;5003;2445;2957;3470;2960;5006;2963;5012;2965;2966;2455;2456;1433;922;1435;2968;925;1950;2970;2971;2973;2974;2977;4514;933;4006;4517;2984;4012;1965;4014;2991;5550;945;946;1979;958;5568;4546;963;2502;1991;4041;4553;4554;4558;2001;979;3030;3031;2008;2521;987;988;2012;2523;991;4576;4065;3042;4577;2533;1510;3557;4583;2026;1515;2027;2541;4588;4080;1009;3569;5617;3573;4598;3065;2044;4094,
0024,4864;4097;5888;4485;4743;1544;5001;5246;2702;5135;1553;3858;4371;5009;5010;5011;5137;4504;2585;1306;3866;4249;3357;3869;3103;3871;4381;4889;4387;5282;5283;2854;5926;4904;2218;3114;1708;3374;5530;561;5170;2996;2873;4409;2240;4929;4930;5442;4932;5572;5062;5446;4936;2762;4939;3920;4187;5467;1377;762;2404;4579;4965;5604;4840;3561;2666;107;3690;4201;5227;4976;5362;4213;4982;4087;2810;3965;3326,
0025,1028;4868;2054;2447;4753;4882;4758;5656;4764;4253;4765;4767;5661;1955;4772;5415;4265;2481;3377;3063;5940;182;2103;3383;4665;1084;1611;2130;5716;5717;4575;4834;3556;2535;4712;2025;4844;4718;5747;1014;3959;3062;4854,
0026,4096;3585;3586;1019;4615;9;1033;5639;14;5647;2581;1558;1047;3605;1051;4124;4128;2754;5153;39;2088;3624;4136;43;1579;2094;559;4143;3633;1075;3635;1077;5173;5686;56;2104;2617;5176;572;2108;5811;2625;3650;67;3778;1093;2122;1100;1613;1103;3152;81;594;2645;3669;4693;5720;5210;1115;5310;3165;5311;2658;2147;1124;1636;2149;3687;4194;4708;1130;1642;5740;1645;2158;623;2159;3183;5229;5234;5741;2168;5754;2683;2172;4223;3712;5826;5252;2182;3207;2187;2188;141;2189;2701;4748;2195;1172;2709;3732;2199;2200;5785;5274;3227;4251;5275;671;3744;3233;2213;3749;2727;2216;4264;5290;2219;5294;2223;2224;4783;2227;2228;2229;2230;1719;2232;2233;2741;1723;1212;189;1726;2239;4285;2241;1730;2242;2244;2245;2246;1223;2247;1225;2249;2250;2251;5837;1231;3791;2265;5339;4828;4317;5343;3808;2786;2787;4324;743;3306;748;4332;5357;5872;2290;246;3830;2808;5878;5882;2812;4860;2815;2816;5887;259;5896;5386;779;3851;1293;3852;4879;5900;5394;2835;5397;278;2840;1312;5409;4905;301;5423;1328;1329;818;819;2353;5937;5941;1847;3896;5434;830;2879;5438;3393;2886;4935;5447;5448;3917;3407;2384;2896;850;4434;4945;1371;4446;863;352;5984;4450;2917;3948;3950;3951;4462;2929;4464;5998;3448;5497;5498;5499;6009;5506;3973;5008;4499;3988;5523;2457;4507;3487;4511;3489;4513;5025;3493;935;937;1962;5033;5034;5041;5046;5049;1987;3526;3015;4551;3020;1489;4050;5588;1493;3543;2009;2522;4570;2013;3549;4062;4574;2021;2022;999;2031;2039;1016;3066;1531,
