,boycott_uid_set,like_boycotters_uid_set
0133,1162;1124;2582,
0134,2905;3545;4961,
0135,832;4993;578,
0136,2944;5442;3515,
0137,688;755;2540,
0138,4081;354;5773,
0139,4204;2766;3894,
0140,2656;1387;5008,
0141,3834;1964;695,
0142,773;2654;3615,
0143,5320;5010;2764,
0144,5825;4810;5163,
0145,5755;2892;4879,
0146,1529;4966;5422,
0147,3803;1134;5087,
0148,2202;3228;591,
0149,2472;2449;3924,
0150,2858;4396;2015,
0151,4409;4729;3367,
0152,4602;3596;308,
0153,3313;282;4021,
0154,4994;3820;13,
0155,1217;4093;327,
0156,3945;2517;2959,
0157,5306;4765;4525,
0158,1304;4090;5110,
0159,3953;2475;532,
0160,658;420;4436,
0161,4577;3226;2148,
0162,1024;3001;3357,
0163,3028;4548;4684,
0164,4281;2883;5166,
0165,41;6004;1294,
0166,2440;3805;1973,
0167,24;3853;3134,
0168,2524;5893;2070,
0169,570;2228;382,
0170,41;5963;5913,
0171,3311;1830;1615,
0172,3121;2938;1476,
0173,3473;3443;5189,
0174,4083;4340;2325,
0175,5123;995;1771,
0176,3384;1425;5360,
0177,5025;429;702,
0178,5657;1197;3542,
0179,4288;351;3375,
0180,3124;5454;3767,
0181,2624;5289;3131,
0182,489;2423;5399,
0183,268;2182;2039,
0184,453;5725;2055,
0185,692;5886;5894,
0186,2770;2340;2615,
0187,4944;3508;2718,
0188,5752;657;3464,
0189,5489;1139;687,
0190,5137;878;4270,
0191,4633;1820;2525,
0192,3921;202;3397,
0193,2752;4836;5942,
0194,3105;749;3646,
0195,3847;2501;2983,
0196,864;5268;3068,
0197,5873;4275;1494,
0198,5386;1614;4087,
0199,1944;5530;3419,
0200,1150;2499;3518,
0201,2617;2638;1815,
0202,4538;5619;1610,
0203,5408;665;4909,
0204,4562;1540;6014,
0205,3352;3169;1349,
0206,2253;3068;5293,
0207,520;4404;1927,
0208,2912;5969;1229,
0209,346;2147;4214,
0210,3200;2953;5602,
0211,2067;5565;2470,
0212,4176;1763;5123,
0213,765;389;5894,
0214,5914;3253;5975,
0215,1688;828;1047,
0216,4314;1259;1783,
0217,2273;1099;407,
0218,1528;1544;428,
0219,3752;2377;1085,
0220,3456;4074;4964,
0221,3184;5241;5767,
0222,473;3363;3949,
0223,4857;2675;2462,
0224,4256;1619;1990,
0225,2992;2218;3834,
0226,331;5933;543,
0227,4562;5971;3367,
0228,4896;5361;264,
0229,1712;2176;5727,
0230,931;1150;2551,
0231,2555;204;5959,
0232,6001;3611;5809,
0233,5912;6025;2526,
0234,408;4653;3126,
0235,4616;1595;5550,
0236,5256;3825;1404,
0237,4561;3588;3046,
0238,2321;5404;4694,
0239,3712;2048;1909,
0240,1968;907;5900,
0241,928;3284;870,
0242,3112;5027;3341,
0243,3432;1298;2311,
0244,4216;171;1684,
0245,4522;4835;3204,
0246,4656;4616;3565,
0247,5843;3971;574,
0248,5713;3781;6031,
0249,5296;2833;2127,
