,boycott_uid_set,like_boycotters_uid_set
0207,3968;576;978;3957;1951;3391,
0208,2274;5317;1864;4424;1964;4570,
0209,387;1668;3845;1159;4843;1087,
0210,4165;2796;819;1588;3161;5085,
0211,258;3202;2343;2730;1390;3670,
0212,6017;132;295;3659;367;4151,
0213,2241;4358;2030;2521;1722;5081,
0214,3585;3651;2982;4748;565;2136,
0215,5124;3506;1270;2935;5083;3711,
0216,2304;299;4782;2107;1629;5631,
0217,1600;2499;4142;2097;2267;1854,
0218,4481;4645;3051;5620;2774;1240,
0219,416;5569;4486;5516;592;4062,
0220,4992;2823;5385;620;2394;5755,
0221,4131;1797;492;4620;561;1305,
0222,4710;3026;467;1077;3449;1759,
0223,1856;5123;73;5066;1516;2687,
0224,4642;263;2100;57;4318;1855,
0225,1696;3841;33;3748;913;1951,
0226,1511;2860;2316;2352;1652;2710,
0227,2720;1985;2758;1693;4102;157,
0228,5894;5675;2607;5305;5722;2335,
0229,1443;553;4716;4652;4754;982,
0230,812;973;60;5008;2582;764,
0231,5313;4773;3789;4432;1329;5524,
0232,449;547;5484;1647;1681;56,
0233,1289;686;3350;2428;5851;2684,
0234,2021;1510;1294;3379;277;1463,
0235,4225;3269;5737;1427;3574;5302,
0236,3171;1797;1448;1147;5468;1439,
0237,4448;1282;3812;234;1784;474,
0238,1379;2312;1166;4115;1843;3702,
0239,543;1869;660;4376;1113;6015,
0240,3904;2499;1446;5067;4211;2847,
0241,5662;231;3339;1742;1367;5694,
0242,518;1289;2193;5974;2166;409,
0243,37;333;1203;2580;6037;4697,
0244,3973;2679;1767;2000;1431;1243,
0245,1312;5219;4717;472;2713;4154,
0246,5411;2891;4588;2701;531;5397,
0247,3726;5935;5329;1302;986;3035,
0248,5635;4389;1198;2132;4569;5756,
0249,1440;3368;1042;84;5177;3291,
