,boycott_uid_set,like_boycotters_uid_set
0040,4609;1666;3;130;4997;4099;3079;1284;395;782;5905;4882;536;410;3482;1822;1151;4641;3490;3491;421;937;4011;556;3117;557;4270;1970;4789;5302;567;3256;1852;4926;2623;3138;3395;1091;5829;196;967;4810;4044;3405;4302;2638;465;5202;5849;859;5351;5864;3700;1909;4854;5240;4985;5498;4478;1919,
0041,4993;1026;2306;906;4875;4879;2063;5524;4629;4630;2040;5531;1181;925;3235;4388;4391;1449;3498;2858;1326;3887;559;2809;182;4667;4924;2493;3261;704;3777;3010;707;578;5832;2510;4047;5329;3281;725;2519;3672;2907;5468;1630;3040;2915;1893;618;3562;362;3823;4719;3311;5234;4852;4472;3577;3706;3965,
0042,3714;4868;4360;4491;3726;4878;5264;4369;274;2450;1428;4116;5118;2711;2971;4000;2850;3746;1700;676;295;4520;3500;4913;1202;2869;440;4154;4284;317;5694;320;2114;1604;5961;3533;206;1999;1743;2640;3798;728;5081;3547;3036;1884;3042;2277;1510;5865;3049;4587;1133;2672;1521;3440;2296;5774;1020;5374,
0043,130;5507;2820;3970;4109;4750;1809;3986;1814;2072;1180;5277;5788;289;5154;3491;3877;5670;297;4265;300;5421;4530;4404;2613;5176;2361;1084;5693;3646;4799;2368;4930;5699;1731;5836;5581;4431;5584;5840;4560;3540;5204;5718;5205;981;1241;5722;221;3549;1251;4708;5350;2536;3176;3054;5232;1009;1525;503,
0044,4615;3720;10;3724;1295;2066;3858;1176;4634;1565;30;5534;2975;3233;546;2597;3238;4903;2600;5287;3369;2297;5162;429;4782;1838;1202;2354;5043;1973;1203;4280;827;3260;3269;3527;199;1865;845;5069;2255;2129;5586;4182;1371;3420;4189;3805;1243;5091;4197;999;377;1259;2540;5490;5878;5241;3838;2431,
0045,4867;4;3079;907;1293;653;4751;4752;529;3729;4495;1166;4374;6039;408;1305;3482;5658;157;414;2849;4517;677;3367;1830;4649;2597;427;4013;1839;4150;3126;3260;1085;3518;1727;2624;4290;4803;5959;3402;3404;2125;3278;78;3792;1490;3284;3669;5471;737;3434;4076;5612;5356;5999;4207;2806;3191;4732,
0046,3328;5505;1797;3847;4361;3722;5774;2575;4368;3857;2447;3089;1424;22;2710;3609;157;2206;419;932;1707;1202;3124;694;5047;951;2104;438;3515;3906;3523;3909;1350;5196;1357;1874;725;2519;2904;1881;2012;3037;5725;5345;2150;3559;4074;1260;1391;4207;5745;4980;125;2164;5238;3704;4346;1660;5245;1150,
0047,385;5507;4107;4749;397;2321;5268;3993;5913;4766;672;550;2214;3880;1959;2730;5674;2604;4526;3119;814;4401;3505;432;5552;4661;4537;2879;960;193;965;5319;4040;331;5839;3535;2640;3923;4566;986;3676;3810;5475;4324;4197;5097;4457;2156;4717;750;5231;4979;244;5621;2294;1270;4090;4859;1532;5503,
0048,3077;262;2056;5258;5388;141;270;911;2964;1816;1698;4516;37;2086;682;3756;3758;1972;3509;1206;3767;53;5305;4154;1978;2364;956;5568;195;1475;5701;4294;1609;1358;2128;465;2642;723;725;2901;1238;472;5718;2012;4062;350;1251;4324;5222;5355;1775;3439;881;499;2164;885;4087;1659;5885;1279,
0049,2049;4354;6023;3593;2061;5010;4375;1816;1049;666;795;4891;5658;2335;5796;4775;1069;46;1840;816;825;4281;3517;2371;454;2504;4297;330;1227;3918;4049;1233;2387;1110;5719;216;4953;3932;1245;3166;4956;1632;3041;5859;357;2665;5225;3308;1133;5870;3055;3310;6001;3054;1523;2927;1779;5617;4727;1022,
0050,4612;3210;1931;1420;1677;2450;4501;3221;4119;2973;1567;416;5665;672;5028;5926;41;5545;5931;300;429;3631;2991;5812;2997;5560;4922;4539;1594;4410;2430;5317;1862;4424;1865;3274;2635;585;4554;5198;4688;3158;4189;221;3684;485;3690;4971;4075;621;1390;4207;1007;1394;1395;3701;1143;4858;5630;4223,
0051,6017;1155;3590;3850;2444;780;5390;4495;2448;399;5650;2963;1403;1815;29;415;4515;1579;2092;3373;1966;4017;5683;2100;5685;182;4149;1211;5954;5575;3272;2633;199;1098;973;4814;5199;2767;1237;1366;725;4315;5213;3422;2657;3681;3171;5091;3428;4198;359;5985;5481;1900;1136;1525;5114;379;3582;127,
0052,3840;1537;2818;6016;5496;647;5000;4745;1930;2447;2576;2833;5781;1431;793;2971;5915;29;5407;4265;3625;2991;4786;5683;3765;2613;4150;2744;2617;2101;5178;2755;4548;4933;5445;1736;2767;5711;2641;3669;1750;4183;3547;4318;5347;5861;5480;4970;2667;2669;4845;1262;1136;3828;373;1270;5237;4472;5114;2428,
0053,387;775;4105;1291;2059;4619;526;5649;3859;1172;1941;1175;151;3096;669;5151;545;33;2551;5413;2475;1068;45;2222;3632;2354;1971;1460;950;1463;313;4410;62;191;5185;711;1738;1740;5581;78;3663;5846;3670;3930;2779;1501;1630;5472;5218;1762;1124;3176;1260;5997;2284;2677;4087;3961;126;2302,
0054,4992;3073;2562;259;3588;4485;1161;4746;2452;3988;22;4629;2840;3737;663;3997;5150;286;1309;1054;2338;4134;1450;1323;813;1585;2100;2231;2487;1594;4028;4797;5439;5056;2496;3530;3660;1358;5080;4952;5211;477;5601;3297;5217;3428;2021;870;4711;2280;1767;493;2029;2290;883;372;3444;5750;1782;1018,
0055,2178;5124;1543;2702;1275;3088;2707;3092;5525;5143;1945;3995;2464;3873;3492;2982;2732;4524;4269;4397;3248;4406;3002;5692;5821;448;832;4167;584;3659;5708;2637;1485;2895;5836;3788;5587;2388;2515;3670;5339;2527;4705;5092;4068;742;3812;3050;747;3179;1386;495;5232;5743;2675;2421;1398;1016;379;1151,
0056,2563;3843;1546;4363;14;5265;3474;1939;2579;5399;5148;4253;414;30;671;4895;4515;4131;2853;2598;1320;4777;1192;3243;425;942;5040;4662;2742;826;5818;5050;705;4547;844;4173;2134;2140;5341;989;2527;3296;1121;994;3037;5350;4072;1897;5865;746;2282;5997;3821;5358;5104;874;370;1140;4596;2810,
0057,769;2697;3083;5387;1296;20;4373;4630;2711;4633;4250;1819;3483;2204;4125;2720;1829;681;5290;5037;2608;2356;5429;5558;2999;5306;2875;3259;1083;4541;4927;4156;2362;4676;708;5450;846;2000;1872;5842;3155;3666;5973;3798;3158;5978;5466;91;2143;2912;1760;5090;995;483;2412;1015;1140;1783;1913;2430,
0058,4101;646;649;393;3340;5005;654;3857;2450;1938;2963;3091;5782;1431;1560;4898;2551;5155;3365;3237;1707;3885;2737;4788;4917;4536;3258;5179;4668;1469;190;4028;3007;1340;2627;3400;1737;5195;462;718;4821;5209;1113;4313;2910;1249;870;3558;4712;2537;4075;5997;3952;4210;2806;1527;3192;1910;1918;1279,
0059,897;1540;5895;776;2696;266;5392;5137;4881;2450;279;5656;412;286;3743;1951;4513;1312;4643;4387;3491;5798;5668;5799;5410;2218;5028;1327;4273;5555;3387;2364;3647;3392;2751;1984;5315;721;5074;2771;5079;984;5849;1370;5466;5468;5723;1629;4953;2656;993;3426;481;2921;2541;239;3696;4592;756;1911,
0060,643;899;4739;2694;4110;2964;5141;1300;2325;4500;2713;1691;3485;287;4384;2591;4518;4392;809;3755;3501;1070;5423;1969;2481;4915;184;5561;954;444;704;4805;4040;1098;3021;4432;852;3285;980;5076;3672;4696;5209;5465;3544;3553;611;1509;3951;2288;5615;5234;4464;4982;1142;5497;2939;1916;1149;2559,
0061,3073;5506;2691;1154;3337;3082;6027;5260;5266;2579;1043;149;790;5011;3483;797;928;418;3619;2725;1702;4520;4013;5933;5679;686;1201;948;1205;3511;952;314;699;4156;954;4030;5691;3137;1218;1992;5069;718;2769;1110;4697;2779;5084;5853;1255;361;2027;875;2157;4976;3057;4465;2418;3577;3067;639,
0062,1280;510;1161;3210;1546;3982;3729;5395;1812;3222;2198;3351;537;2461;671;4902;2473;172;1840;2225;4658;569;2746;4667;1084;4413;4033;3658;3146;5068;1232;5330;2003;2258;469;3030;5334;5720;3289;4317;3933;222;226;1252;4198;2279;5606;4843;1645;2543;1265;3570;3571;1909;5110;4854;3449;5628;4349;5630,
0063,3456;513;1026;4099;4992;3076;1286;2187;5908;5020;286;5152;417;5669;4396;941;2733;1455;688;1971;3765;694;1919;1333;5558;183;1589;832;3010;5187;4551;3656;970;5323;4048;2385;4561;980;84;214;475;987;5084;1247;3551;608;3170;4833;1509;5224;3949;366;3567;5743;4209;4084;2167;761;3706;4991,
0064,258;3587;4996;5636;134;10;530;6036;1685;3606;1432;541;5026;4387;4263;2217;3625;555;2604;2221;5934;4655;5304;696;4795;5693;4161;1857;3012;965;5192;844;4173;5969;3666;4694;3543;4088;3548;3933;734;1504;5601;3044;869;2534;1766;3689;236;2797;5998;3567;2796;2546;5748;5112;3321;3194;4092;5375,
0065,1795;1284;1541;4998;4105;2831;1809;3219;1812;2072;4889;3994;1563;5276;5789;1053;1434;416;5546;5930;2477;2480;305;53;822;1719;4026;1083;1084;4926;959;5824;3137;1856;71;5576;3402;1871;3792;4950;2647;342;3286;3034;1370;1626;5855;4191;4963;5219;3173;5864;872;1386;2155;2286;5359;247;2811;125,
0066,4481;4354;5379;6020;2056;4361;10;5385;779;1421;1550;1161;528;906;3736;2458;1565;3493;1957;1574;1451;3627;1453;1966;5936;1201;3507;2868;949;3125;1976;5944;826;4029;5054;4286;4931;1475;5317;2887;1098;5964;2765;593;5202;212;469;215;1880;5466;989;1119;3168;2660;2022;5734;4328;4331;751;115,
0067,3460;1797;2569;2314;4364;4621;3468;144;5649;1938;4754;3478;23;5662;4639;3875;4259;2725;5158;2855;5412;3108;3370;4523;3244;429;1455;4143;2481;565;5046;4410;4155;700;4799;1728;450;4931;4038;4425;3276;333;3921;3281;1494;728;2777;3295;1631;481;5218;2275;1895;5351;4711;1388;5488;4083;249;3071,
0068,640;773;2953;5900;2830;4241;1041;3608;665;1945;5787;4762;1182;1183;2593;2979;5795;4901;1704;2734;3503;2353;5426;4019;1332;4275;3063;4792;5435;1597;5437;3392;2883;5955;1475;5316;5192;5704;2378;4173;464;210;340;3029;472;2011;95;4834;5859;4452;2790;743;1259;2031;1522;2932;244;4596;503;2943,
0069,2048;4099;2053;1541;2183;2698;10;1292;5879;6030;2065;4882;6035;3604;2451;3096;3996;4124;2332;3488;2338;550;4262;5416;3752;1578;940;2101;5686;2485;1974;697;314;3389;960;3777;2242;451;5954;3396;3905;2240;4941;1104;594;4438;4823;1627;4445;224;2017;3046;747;5869;2415;4208;5750;1271;1660;5758,
0070,2048;4736;643;2820;5638;903;2569;1020;1036;3984;5010;3092;3997;5536;5154;803;1572;3108;4772;3495;1706;2731;4141;4782;1711;5165;1210;3002;2879;2754;706;836;582;1478;5448;463;2768;209;4818;5458;4695;1240;5464;2268;1891;1252;2790;744;876;5612;2157;3821;2800;3952;243;2423;1401;2556;3069;1534,
0071,4865;642;5379;1284;645;2695;2444;1421;1166;3983;2704;5776;1551;3988;1050;5402;4132;4647;2604;2097;50;3507;5044;4533;2100;5173;56;2554;2106;1598;4290;5316;2431;3271;4938;204;5708;4046;1235;5972;3540;1493;3706;2010;5220;5605;3177;3309;3695;2671;879;4978;5491;1775;634;2423;4858;4859;2556;5503,
0072,5892;4998;2315;4111;5649;786;401;791;2840;1306;669;5247;5664;3745;3362;291;1188;1958;5798;5417;3370;428;3888;3121;817;1969;2742;4281;3388;1596;3524;1607;328;713;969;3019;844;5584;4945;2645;3925;2903;5205;4825;5725;350;4448;2275;2917;3816;2793;3690;2416;5106;1015;2295;2169;1786;1399;3071,
0073,896;2052;1541;2310;3335;2823;3081;4489;766;15;2960;1299;2838;1944;2717;3998;1955;3109;4136;5033;4141;3505;305;3764;3381;3896;5689;313;5180;444;4798;3261;2496;5952;1089;1603;2506;76;3020;1614;1871;2126;5969;2130;3412;2139;2654;1631;2274;3812;2022;3176;3945;4201;2158;3695;1013;5623;5374;1399,
0074,2304;4609;1282;1795;2443;524;780;2318;2703;2321;5781;4120;1913;921;3611;3866;24;2591;5280;3999;4387;2986;2987;1322;2991;305;4274;307;5429;5047;186;571;5820;2246;3654;2632;4938;4688;1234;5587;4180;5461;1622;853;3163;4960;610;1130;748;366;4719;880;2417;1651;1524;5878;3321;4730;1403;1407,
0075,5760;3205;774;2822;1543;3336;5515;651;14;654;272;5264;4754;2197;1813;24;4891;1311;2848;5025;1151;1060;5413;166;679;3496;4009;2602;5291;1454;2094;2736;3129;1210;2620;575;839;3400;3661;1357;4945;4818;3411;339;984;473;1117;3549;2018;5993;4473;3049;2286;242;4980;3702;3577;252;5245;5375,
0076,2817;4354;772;3973;2820;6022;2443;4621;3606;22;3224;5529;5273;4760;2463;3747;2343;3626;5931;813;558;5039;3630;4146;4533;5942;1977;1978;2492;1085;3902;965;4425;3532;77;4942;2127;4560;79;204;5332;4820;5850;3931;1375;992;1119;3042;609;869;3048;3819;236;750;5617;2161;4342;505;3451;124,
0077,2947;900;772;4742;4487;5640;4104;2059;140;1932;4878;5519;2070;155;156;1309;3486;3744;4384;3363;4007;1321;426;2601;2089;1584;2993;178;819;1591;1722;4158;4289;5698;2885;3398;842;3660;2515;1755;4830;1760;3937;4195;5352;5993;3436;1516;1134;2160;626;4979;5108;1653;1781;4214;4851;122;1276;3838,
0078,3328;3201;4610;3200;1283;3205;1280;7;3080;1801;2052;131;5259;4877;1421;4367;3728;5139;4244;5781;277;4247;920;3357;1186;674;3239;1833;3634;307;1972;5301;4661;4792;3899;443;5435;2372;3018;2254;5202;1108;1240;4185;1242;3162;607;1122;5095;5223;1768;234;2310;4717;1774;242;1781;4601;4606;5631,
0079,3456;1026;1667;5517;4367;784;4370;2200;1048;4764;4383;2976;3234;3238;935;2343;1961;4903;5291;2474;1581;808;1327;5294;2481;2610;2097;3506;2358;5435;4542;4033;4675;5958;843;974;594;4821;4053;3417;4314;858;2908;5600;4395;3043;5477;4326;2919;110;5360;506;2420;5492;5238;5366;5112;4217;5494;3199,
