,boycott_uid_set,like_boycotters_uid_set
0010,3074;2691;764;3210;3596;6032;4374;3226;3872;2849;1315;5545;2477;5165;5679;1586;307;3902;446;5313;4801;322;5451;5582;4815;3025;1881;4187;2139;3036;2145;5986;97;3810;2535;3560;5103;4084;2293;4086;372;3832;3835;3452;1021,3204;3845;1670;4484;5255;5513;5768;3864;4634;3356;413;1569;2593;2339;4772;5630;4904;809;1707;5291;1071;567;5048;953;4925;5952;451;2372;1863;4817;210;2259;470;4697;3039;1378;101;4218;1131;4588;494;1134;760;3706;2942
0011,3456;2691;3210;5003;3864;538;2974;1702;2983;5670;3497;2732;3501;567;451;4686;3920;4050;4179;2903;215;5593;97;101;2922;5994;4461;4589;5487;4337;372;884;3061;894,2694;4885;2201;4634;1949;1437;288;5025;5671;4904;1071;1080;316;957;3902;1856;4801;1349;3912;3534;5072;863;609;3809;3937;5862;3815;3688;105;3820;496;374;4982;1278
0012,3718;5768;5769;3864;3356;412;2593;1186;1191;4904;5930;1586;183;3769;5434;1983;5058;4418;5582;5841;5589;97;4708;5221;1643;2547;1268;4470;5758,2185;3596;1170;3474;543;928;161;1315;1699;549;1062;2340;4780;2094;953;5180;5948;3390;4298;2764;2901;4694;3930;1378;3688;5103;3704;1021;4734
0013,3073;2691;3207;4374;926;288;2468;1702;5670;5671;5560;3902;1856;5696;1349;5958;1481;4686;3151;4944;4176;4179;5973;346;101;5862;4968;3688;2155;1259;1771;1518;5487;4595;372;2420,1410;2694;5003;661;790;536;4633;1437;2337;4131;4904;682;5679;3889;567;953;2875;2363;4668;577;4674;4801;2510;4050;215;5593;5984;3937;5736;2922;5104;5873;3064;121;3324
0014,5504;1345;4518;5255;5000;233;4298;1835;3979;3560;1746;2259;884;4595;3095;3032;4507;764,5056;5600;5343;4357;583;1885;3853;2510;4206;4050;3769;1396;1111;2968;953;413;2750;447
0015,4448;5504;2593;1285;1062;5100;3476;3032,4032;2756;4904;1134;4634;5142;1018;1021
0016,1699;4457;3499;2124;1746;3539;1717;408;1274;187;2781,5184;161;1698;806;998;2507;5938;5300;2293;5749;5082
0017,3559;4904;2155;372;1528;1692;3231,1856;2593;4801;2340;46;3889;4093
0018,3590;3592;3081;4107;3596;2572;17;4118;1569;5156;1071;1591;2124;594;1113;2656;3688;1131;4204;1134;3699;3192;2176;5770;4748;3228;161;4772;682;5805;2738;2232;1727;4806;714;716;1746;2259;5847;1753;3813;2790;5862;5363;1268;1275;1802;270;3864;1306;4898;3874;3365;4904;2859;303;2866;5427;5948;829;1863;3400;330;3403;3412;346;5484;5489;6011;5512;2957;1940;412;1437;413;1949;928;5537;437;5056;4034;5064;5582;4050;979;1498;2526;5598;3044;5102;5626;1021;4094,5645;1551;2064;2583;2593;4649;5679;1586;4659;3635;53;1595;4686;4687;81;3684;4207;3697;2683;2171;130;2178;2691;5255;2185;661;3226;669;5801;170;2731;2733;5300;1724;4801;2766;2781;3810;5858;3304;3306;3819;4333;239;4337;2293;3317;3834;1790;4363;4375;3356;1315;295;811;300;1842;307;4406;3902;5446;3916;4959;1901;2933;4470;3452;2942;4994;4484;1926;2438;5000;3474;1947;419;2468;3501;2483;1972;953;957;1983;4032;451;3036;5094;5097;5100;5103;4084;5629;5630
0019,4484;3979;18;3864;1306;2593;1697;1062;4904;2860;307;184;953;1983;583;4809;4298;2003;3286;1494;5847;343;989;5343;97;2148;3560;233;2157;4206;1530;379,5504;3592;5000;5384;4748;3597;3474;3858;408;4507;4645;937;5033;1835;4411;2750;2631;5447;1481;5704;2124;5841;3032;346;2145;5483;1645;884;4086;764;6013
0020,5504;2689;5255;3592;5008;4507;1697;162;4518;4904;1834;2091;4659;951;3769;953;4411;3002;3390;1347;583;840;4298;2259;3032;1241;1885;5343;2145;5090;3688;4206;4086,2944;2691;4484;3080;4107;4363;3597;4748;5396;3095;3101;937;1835;44;1586;58;5701;1224;5707;2124;5841;1746;4050;5845;5847;985;346;5483;1132;623;4595;3704;764
0021,3073;3074;5132;3596;5137;2070;2080;1569;1062;5165;1586;5690;4667;3136;4172;81;597;4187;91;4701;4189;3167;5212;3686;5735;4204;5743;2159;2163;5753;2171;5757;3711;2689;2691;661;3221;1180;1692;3238;2726;1217;3781;4297;714;4815;5839;4817;1746;2259;3287;3810;4324;3813;5862;2791;2790;3305;2287;5363;3322;2313;3852;784;3344;2838;3356;288;3872;3365;4904;1847;5945;1349;3912;4424;1371;1378;2922;3947;372;5499;3452;6013;3461;3978;2957;4495;5528;2970;1437;932;1446;4518;5542;3502;446;5056;452;4039;5579;5582;1488;5591;3558;5609;5102;2543;3059;4086;5629,1536;5130;4634;2593;4129;5671;4649;5166;567;1591;4154;3649;577;66;2113;582;2118;1098;4177;594;4179;2657;3684;101;3688;1131;1134;1649;626;3699;4723;5756;1670;5255;5768;138;3210;4755;3744;1192;2729;682;3755;1718;186;4801;2243;1732;4293;5343;3296;3809;4320;233;234;3306;2293;1271;2297;3835;1275;764;768;257;5384;2831;3858;2852;4900;5936;307;5427;4405;4925;3902;1856;1863;5962;4943;3930;875;5484;3437;5489;1917;2942;4994;4484;1940;1953;1959;2477;946;1972;437;2488;953;447;2497;451;5066;4044;3036;4063;5095;3560;4589;4595;1018;5115;1021
0022,3073;1157;5255;3207;2957;4495;1940;661;538;283;4634;1949;5534;1437;2849;5284;4772;5670;682;1071;4143;307;1972;2363;3135;1856;5696;4545;451;452;1349;4050;4179;5973;86;5593;3835;5984;609;5218;121;2276;5862;3306;1131;1259;5102;1518;496;3697;4595;884;4982;374;761;5499,3456;2689;130;389;2694;3461;2697;5003;5645;6031;790;4374;3864;2201;288;1702;2726;4904;2729;1198;5936;690;5427;567;568;953;4536;2875;4027;5560;3902;4801;2505;206;2510;4175;81;2770;5460;346;3036;2401;2788;101;1765;3560;3688;2922;3820;4461;4337;372;3452;1021;894
0023,2307;5255;2056;138;3210;3596;3978;2828;5645;3474;4373;5653;5913;3226;2974;5629;1699;1446;4904;5423;3889;307;4801;577;3267;5446;1863;210;4947;4179;3158;5335;5208;346;5597;2526;97;3684;5862;4327;3304;1258;1643;5739;5102;1134;4207;4084;1021;2943,4994;2691;2693;2185;1802;4489;4874;5517;274;2070;3864;4888;4634;1437;928;2465;2593;1062;2726;1966;2609;1718;5942;953;5434;5948;829;3902;840;4681;2764;2814;4815;81;4177;2259;725;2901;5596;5085;3815;3688;2414;5103;2163;374;3704;3322;3835;1790
0024,3842;2185;3210;1802;1425;2072;3356;5794;5795;549;1446;1191;4136;1062;3885;4277;1211;3521;3394;195;2244;2373;710;839;1224;5451;5069;5582;81;2002;3292;5469;2526;4448;97;1378;1635;1258;1134;112;5749;504;3833,1026;6020;1926;5511;3596;3474;4888;2841;4634;27;1698;1699;2340;3490;5413;424;1835;1586;307;3635;4021;5300;4921;5948;3646;4418;3651;4298;2251;2764;5329;1117;3045;1896;2793;1643;5100;2030;5999;2293;5625;2941;5759
0025,3140;1221;5000;4201;139;1132;2510;764,2145;2308;4484;4904;4298;1746;567;858
0026,4994;645;1670;2694;5768;266;3466;3853;2574;2831;1940;2201;5275;413;2593;2082;420;2726;1959;4904;5542;682;5291;1702;5165;1330;3251;5427;307;3257;1343;5952;4801;2117;2118;2510;4052;91;5469;5343;2145;2401;3173;1131;3835;5375,4737;3596;4236;5007;4752;3604;3864;4888;3738;4634;3356;2849;2339;2852;4518;5290;4273;1971;184;953;4925;446;3902;5056;451;2243;4811;3790;5582;5072;4817;1363;2003;989;2914;101;5862;231;233;3177;2155;4589;4595;2809;1021
0027,1410;3587;6020;2694;7;2697;5770;5003;2828;6027;3596;649;3339;3474;5499;4634;2970;3356;926;4895;3872;2593;928;1315;1830;1446;4136;5427;307;1972;1591;5560;953;3002;2363;5948;1343;2369;65;5058;1986;5446;4172;5069;5582;4050;979;4179;2648;346;3036;3039;3835;3296;4195;5221;5862;231;3688;4584;3306;1259;5736;1005;494;5102;4080;5873;5997;4595;2420;2171;5372,257;2689;5255;5768;5257;3210;3468;4623;5907;2324;661;2964;2583;5141;412;1437;1949;288;5794;4131;5157;1062;2726;2983;4135;682;5545;5671;1198;1586;1718;2683;3772;4027;3902;1856;2240;3522;451;452;1349;3781;4801;5454;4047;2384;5200;5973;2137;4697;2139;4187;97;1378;1256;3560;1258;875;1131;2155;2922;5484;5994;4093;3699;372;2293;2678;2423;3704;635;1021;2943
0028,5513;3596;6032;4374;3864;3226;3356;413;1569;4904;2477;5165;1071;1586;307;567;5048;953;4925;446;3902;4801;5451;5582;4815;4817;2259;470;4697;2139;3036;3810;1378;101;3560;1131;4588;1134;372;2293;3832;4218;764;1021;5630,3074;2691;3204;3845;1670;4484;5255;5768;3210;4634;3872;2593;2849;1315;2339;4772;809;5545;1707;5291;5679;5952;5313;322;451;2372;1863;3025;210;1881;4187;3039;97;2145;5986;2535;494;5103;4084;4086;760;3706;3835;3452;2942
0029,3864;538;4634;5025;1702;2983;4904;5671;5670;3501;1071;957;3902;1349;3534;3920;4050;4179;2903;863;609;3937;5862;3815;2922;3820;4461;5487;496;4337;372;3061;374;1278,3456;2691;2694;3210;5003;4885;2201;1949;2974;1437;288;3497;2732;567;1080;316;1856;4801;451;3912;4686;5072;215;5593;97;3809;101;3688;105;5994;4589;884;4982;894
0030,3718;2185;3596;3474;3864;543;928;2593;1699;1315;1191;4904;5930;4780;953;3390;4418;5058;5582;5841;4694;97;1378;4708;3688;5103;4470;3704;4734,5768;5769;1170;3356;412;161;1186;2340;549;1062;2094;1586;183;3769;5434;5180;5948;1983;4298;2764;2901;5589;3930;5221;1643;2547;1268;1021;5758
0031,1410;2694;3207;790;4374;4633;1437;2337;4131;2468;1702;682;5560;2875;577;4674;4801;1349;5958;1481;4944;4176;4179;215;5984;101;5862;5736;4968;1259;2155;5104;5873;2420;121;3324,3073;2691;5003;661;536;926;288;5670;5671;4904;5679;3889;567;953;2363;4668;3902;1856;5696;2510;3151;4686;4050;5973;5593;346;3937;3688;2922;1771;1518;5487;4595;372;3064
0032,5504;4357;4518;3560;233;4298;3979;1835;3853;2510;1746;4595;2259;1111;2968;4507;764;447,5056;1345;5600;583;5000;5255;1885;4206;4050;3769;884;1396;3095;3032;953;413;2750;5343
0033,4448;2593;4032;1018;2756;4904;4634;1021,5504;1285;1062;5100;1134;3476;5142;3032
0034,5184;998;806;4457;2124;5938;1746;5300;2293;1717;408,161;1698;1699;5082;2507;3499;3539;5749;1274;187;2781
0035,1856;2593;3559;46;372;1528;4093,4801;2340;4904;2155;3889;1692;3231
0036,3590;3592;3596;5645;1551;2064;1021;1569;2593;4649;5679;1071;4659;4687;81;1113;2656;3688;1131;4204;4207;4094;3192;5255;2185;5770;661;3228;4772;5801;682;170;2733;2738;5300;1724;4801;4806;1746;5847;2781;3813;3304;239;4337;5363;1268;1275;1790;3864;3874;1315;4898;3365;295;300;1842;307;4406;5948;829;5446;1863;330;3916;1901;5489;2933;4470;6011;3452;2942;4484;2438;1926;5000;2957;3474;1940;413;5537;3501;437;4032;4034;5064;979;3036;3044;5097;5103;5629;5630,3081;4107;2572;17;4118;2583;5156;1586;3635;53;1591;1595;2124;4686;594;3684;1134;3697;3699;2683;2171;2176;130;2178;2691;4748;3226;669;161;2731;5805;2232;1727;714;716;2766;2259;1753;3810;5858;2790;5862;3306;3819;4333;2293;3317;3834;1802;4363;270;4375;1306;3356;4904;811;2859;303;2866;5427;3902;3400;3403;3412;346;4959;5484;4994;5512;1947;412;1437;1949;928;419;2468;2483;1972;953;957;1983;5056;451;5582;4050;1498;2526;5598;5094;5100;5102;4084;5626
0037,4484;5384;3597;18;3864;408;1306;4507;2593;1697;4645;1062;4904;307;953;5447;583;4809;5704;1481;2003;3032;5343;97;2145;3560;5483;1645;884;4086;764;6013,5504;3592;5000;3979;4748;3474;3858;937;5033;1835;2860;184;4411;2750;1983;2631;4298;2124;5841;1494;343;3286;5847;346;989;2148;233;2157;4206;1530;379
0038,2944;2689;4484;5255;4363;3597;5396;3101;4518;937;2091;1835;1586;4659;953;3769;58;1347;5701;1224;5707;5841;4050;2259;1746;5845;985;2145;5090;3688;4206;623;3704,5504;2691;3080;3592;4107;4748;5008;3095;4507;1697;162;4904;1834;44;951;3002;4411;3390;583;840;4298;2124;5847;3032;1241;346;1885;5343;5483;1132;4595;4086;764
0039,3073;3596;5132;4634;2593;4129;1062;5671;5165;5166;1586;567;4154;4667;3136;2118;582;81;597;4187;5212;4701;3686;5735;1131;4204;1134;2159;1649;5756;3711;2689;2691;1670;5255;3210;3221;661;1692;1180;2726;1192;682;3755;1718;186;1217;1732;4293;2259;5343;5862;2790;234;3306;2287;1271;2297;1275;764;3835;768;257;5384;3852;784;2838;3356;3872;2852;3365;5936;5427;4405;1847;3902;1856;1863;3912;4943;3930;2922;3947;3437;372;3452;1917;6013;4994;4484;3978;2957;5528;2970;1437;1953;932;4518;5542;1959;2477;1972;447;5579;4044;3558;5609;5102;1018;5115;1021,1536;3074;5130;5137;2070;2080;1569;4649;1591;5690;577;66;2113;3649;1098;4172;4177;594;4179;91;4189;3167;2657;3684;101;3688;5743;626;4723;2163;3699;5753;2171;5757;5768;138;4755;3744;3238;2729;4801;2243;3781;4297;714;4815;5839;4817;1746;3287;3296;3809;3810;4320;4324;3813;2791;233;3305;5363;2293;3322;2313;2831;3344;3858;288;4900;4904;307;5945;4925;1349;4424;5962;1371;1378;875;5484;5489;5499;2942;3461;4495;1940;1446;3502;946;437;2488;953;446;5056;2497;451;452;4039;5066;5582;1488;5591;3036;4063;5095;3560;4589;2543;3059;4595;4086;5629
0040,3456;389;2694;1157;5003;2957;6031;5499;4374;2201;283;5534;288;4772;5284;5670;1702;4904;682;1198;690;5427;307;4536;953;4545;451;452;1349;2510;4175;206;81;4179;86;346;3036;5984;5218;2788;101;3560;2922;1259;3820;1518;5102;496;3697;4337;4595;761;3835;3452;1021;894,2689;130;3073;3461;3207;5255;2697;5645;4495;1940;661;790;3864;538;4634;1949;1437;2849;2726;2729;1071;4143;5936;1972;567;568;5560;2363;2875;4027;3902;3135;1856;4801;5696;2505;2770;4050;5460;5973;5593;609;2401;2276;1765;5862;3688;3306;1131;4461;372;884;374;4982;121
0041,2307;5255;2185;3978;4874;4489;5517;1802;2828;1021;3474;2070;4888;5913;3226;2974;4904;1966;5423;3889;2609;5942;1718;953;5948;577;5446;1863;4681;4815;81;4177;2259;4947;3158;5335;346;5596;97;3688;1258;1643;1134;4207;5102;4084;3322;5629;1790;2943,4994;2691;2693;2056;138;3210;3596;5645;274;4373;5653;3864;4634;1437;928;2465;2593;1699;1062;1446;2726;307;5434;829;3902;4801;3267;840;2764;210;4179;725;2901;5208;5085;2526;5597;3684;5862;3815;3304;4327;5739;2414;5103;2163;374;3704;3835;2814
0042,1026;6020;5511;1802;3210;3474;4888;2841;4634;3356;1698;3490;2340;1699;1446;1191;4136;424;5795;5794;549;1586;307;4021;3521;3651;2373;839;4298;2764;5069;2002;3292;1117;4448;1635;1896;2793;1258;1643;5100;2030;5999,3842;1926;2185;3596;5625;1425;2072;27;5413;1062;1835;3885;3635;5300;4277;4921;1211;5948;3646;3394;195;2244;4418;710;1224;2251;5451;5582;81;5329;5469;2526;97;1378;3045;1134;112;2293;5749;504;3833;2941;5759
0043,2145;1221;5000;4298;139;2510;1746;567,2308;3140;4484;4904;4201;1132;858;764
0044,4737;4994;2694;5768;266;4236;2831;5007;3864;2201;3738;5275;4888;2849;2082;2593;420;2339;1702;1959;5542;2726;5290;4273;307;184;446;5952;4801;5056;451;4811;2510;3790;2003;4052;91;989;5469;2145;2914;101;5862;3177;3835;1021,645;1670;3466;3596;3853;2574;4752;1940;3604;4634;3356;413;2852;4518;4904;682;5291;5165;1330;1971;3251;5427;953;3257;4925;3902;1343;2243;2117;2118;5582;5072;4817;1363;5343;2401;3173;231;233;1131;2155;4589;4595;2809;5375
0045,257;2689;1410;5768;5257;3210;3339;5770;3474;2964;4584;4634;3356;1437;1949;3872;928;288;5157;1446;2726;2983;1062;5671;5545;682;5427;5560;3002;5948;1259;1343;4801;65;451;452;1349;5058;3781;4172;5069;5454;4047;979;4697;346;2139;4187;2137;3039;3296;97;4195;231;3688;1256;2922;2155;1258;5997;494;3306;4080;5873;5484;3699;875;2293;2678;2423;2683;1021;2943,3587;6020;2694;7;5255;649;2697;5003;2828;3468;3596;4623;6027;5499;2324;661;5141;2583;5907;2970;412;926;4895;2593;5794;1315;4131;1830;4135;4136;2171;1198;1586;307;1972;1718;1591;953;2363;3772;4027;3902;1856;2240;1986;2369;3522;5446;5582;2384;5200;4050;4179;5973;2648;3036;3835;1378;5221;5862;3560;5736;5994;1131;1005;5102;4595;372;2420;3704;635;5372;4093
0046,3074;2691;3845;1670;5255;5513;3210;6032;3226;3872;2593;2339;809;5291;2477;1071;307;567;953;4801;322;451;5451;4815;3025;210;2259;3452;1881;3036;97;3810;1378;5986;101;2535;3560;1131;4588;1134;4084;760;4218;3835;764,3204;4484;5768;3596;4374;3864;4634;3356;413;1569;2849;1315;4772;5630;4904;5545;1707;5165;5679;1586;5048;4925;446;3902;5952;5313;2372;1863;5582;4817;470;4697;2139;4187;3039;2145;494;5103;372;2293;4086;3832;3706;1021;2942
0047,2694;5003;4885;2201;4634;288;5025;5671;4904;3497;3501;1080;957;3902;1856;4686;3920;4050;4179;2903;215;863;3809;3937;609;97;105;2922;4589;496;4337;372;3061;4982,3456;2691;3210;894;3864;538;1949;2974;1437;1702;2983;5670;2732;1071;567;316;4801;451;1349;3912;3534;5072;5593;101;5862;3815;3688;5994;3820;4461;5487;884;374;1278
0048,5768;4734;3596;3864;543;928;2593;161;1315;549;1062;5930;4780;5948;5180;3390;5058;4418;4298;5582;97;4708;5221;1643;2547;1268;4470;1021;5758,3718;2185;5769;1170;3474;3356;412;1186;1699;2340;1191;4904;2094;1586;183;953;3769;5434;1983;2764;5841;2901;4694;5589;3930;1378;3688;5103;3704
0049,3073;1410;5003;4633;926;4131;1702;5671;4904;682;3889;5560;953;2875;2363;3902;1856;4801;5696;5958;4686;2510;4944;3151;4179;215;346;101;4968;3688;5736;2155;1259;1518;5873;3324,2691;2694;3207;661;790;4374;536;1437;288;2337;2468;5670;5679;567;4668;577;4674;1349;1481;4176;4050;5973;5593;5984;3937;5862;2922;1771;5487;5104;4595;372;2420;3064;121
0050,5600;4518;5255;3560;233;4298;1835;3979;3853;2510;1885;4595;1396;3769;4507;413;2750;447,5056;1345;5504;4357;583;5000;4206;1746;2259;884;3095;3032;1111;2968;953;4050;764;5343
0051,4032;2593;1285;1062;5100;5142;3032;1021,4448;5504;2756;4904;1134;4634;3476;1018
0052,161;1699;998;2507;5300;1717;5749;408;5082;187;2781,5184;1698;806;4457;3499;2124;1746;3539;5938;2293;1274
0053,2340;4904;2155;46;1528;1692;3231,1856;2593;4801;3559;3889;372;4093
0054,3590;3592;3081;5645;4118;5156;4659;3635;1595;2124;81;1113;3684;1131;4204;4207;3697;2176;2178;130;5255;2185;5770;4748;3226;669;161;4772;170;682;2731;5805;2733;5300;1724;1727;4801;4806;2259;5847;2790;3304;4333;239;4337;5363;1790;1802;1306;3356;3874;295;2859;811;300;4406;5948;5446;1863;3400;330;3916;346;1901;5489;2933;3452;2942;4484;2438;5512;3474;1940;412;1437;1949;928;2468;3501;2483;953;957;4032;5056;451;5064;979;1498;3036;5094;5097;5626;4094,4107;2572;3596;1551;2064;17;2583;1569;2593;4649;1071;5679;1586;53;1591;4686;4687;594;2656;3688;1134;3699;3192;2171;2683;2691;661;3228;5629;5801;2738;2232;714;716;2766;1746;1753;2781;3810;5858;3813;5862;3306;3819;1268;2293;3317;3834;1275;4363;270;4375;3864;4898;1315;3365;4904;303;1842;307;5427;2866;829;3902;3403;3412;4959;5484;4470;6011;4994;1926;5000;2957;1947;413;5537;419;1972;437;1983;4034;5582;4050;2526;5598;3044;5100;5102;5103;4084;1021;5630
0055,5504;3592;5000;18;3858;3474;408;3864;1306;1697;4645;1062;4904;2860;307;184;953;4411;1481;5841;343;3032;5847;97;3560;233;5483;2157;884;4086;379;764,4484;5384;3979;4748;3597;4507;2593;937;5033;1835;2750;1983;583;2631;4809;4298;5447;2124;5704;2003;1494;3286;346;989;5343;2145;2148;1645;4206;1530;6013
0056,5504;4484;3592;3080;4107;5396;162;4518;937;1834;1835;44;1586;4659;951;3769;3002;58;3390;1347;5701;840;4050;5845;5847;3032;346;5343;2145;5090;4206;623;4595,2944;2689;2691;5255;4363;4748;3597;5008;3095;4507;3101;1697;4904;2091;953;4411;583;1224;4298;5707;2124;5841;1746;2259;1241;985;1885;3688;5483;1132;4086;3704;764
